School_Name,School_Year,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_incomplete_for_diphtheria_tetanus,Number_incomplete_for_pertussis,Number_incomplete_for_measles_mumps_rubella,Number_incomplete_for_polio,Number_incomplete_for_HepatitisB,Number_incomplete_for_varicella,Reported,School_Type,School_District,Address,City,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade
ALL SAINTS SCHOOL,2015-16,36,94.4%,0.0%,5.6%,0.0%,0.0%,0.0%,0.0%,0.0%,94.4%,94.4%,94.4%,94.4%,94.4%,94.4%,34,0,2,0,0,0,0,0,2,2,2,2,2,2,Y,PRIVATE SCHOOL,FIFE SCHOOL DISTRICT,2323 54TH AVE E,FIFE,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-2,Y,N
ALLEN CREEK ELEMENTARY SCHOOL,2015-16,72,90.3%,1.4%,0.0%,8.3%,0.0%,8.3%,0.0%,0.0%,94.4%,94.4%,93.1%,94.4%,94.4%,90.3%,65,1,0,6,0,6,0,0,4,4,5,4,4,7,Y,PUBLIC SCHOOL,MARYSVILLE SCHOOL DISTRICT,6505 60TH DR NE,MARYSVILLE,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,Y,N
ALLEN ELEMENTARY,2015-16,40,85.0%,0.0%,10.0%,5.0%,0.0%,5.0%,0.0%,0.0%,97.5%,97.5%,95.0%,95.0%,90.0%,92.5%,34,0,4,2,0,2,0,0,1,1,2,2,4,3,Y,PUBLIC SCHOOL,BURLINGTON-EDISON SCHOOL DISTRICT,17145 COOK ROAD,BOW,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -8,Y,Y
ALMIRA COULEE HARTLINE HIGH SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,COULEE-HARTLINE SCHOOL DISTRICT,413 N. 4TH STREET,COULEE CITY,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,9-12,N,N
ALMIRA ELEMENTARY SCHOOL,2015-16,7,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,7,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,ALMIRA SCHOOL DISTRICT,PO BOX 217,ALMIRA,LINCOLN,EDUCATIONAL SERVICE DISTRICT 101,K -8,Y,Y
ALPAC ELEMENTARY SCHOOL,2015-16,96,78.1%,3.1%,12.5%,6.3%,0.0%,4.2%,2.1%,0.0%,85.4%,85.4%,86.5%,83.3%,85.4%,87.5%,75,3,12,6,0,4,2,0,14,14,13,16,14,12,Y,PUBLIC SCHOOL,AUBURN SCHOOL DISTRICT,310 MILWAUKEE BLVD N,PACIFIC,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
ALTA VISTA SCHOOL,2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,PRIVATE SCHOOL,BREMERTON SCHOOL DISTRICT,245 4TH ST SUITE 303,BREMERTON,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,7-12,N,N
ALTERNATIVE HIGH SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,CENTRAL KITSAP SCHOOL DISTRICT,10120 FRONTIER PLACE NW,SILVERDALE,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,10-12,N,N
ALTERNATIVE SCHOOL (METHOW VALLEY INDEPENDENT  LC),2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,METHOW VALLEY SCHOOL DISTRICT,18 TWIN LAKES RD.,WINTHROP,OKANOGAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,9-12,N,N
AMAZING GRACE CHRISTIAN SCHOOL,2015-16,58,87.9%,0.0%,12.1%,0.0%,0.0%,0.0%,0.0%,0.0%,94.8%,94.8%,94.8%,93.1%,100.0%,91.4%,51,0,7,0,0,0,0,0,3,3,3,4,0,5,Y,PRIVATE SCHOOL,SEATTLE PUBLIC SCHOOLS,10056 RENTON AVE S,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-8,Y,Y
AMBOY MIDDLE SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,BATTLE GROUND SCHOOL DISTRICT,22115 NE CHELATCHIE RD,AMBOY,CLARK,EDUCATIONAL SERVICE DISTRICT 112,5-8,N,Y
AMERICA'S CHILD MONTESSORI,2015-16,12,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,12,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PRIVATE SCHOOL,BELLEVUE SCHOOL DISTRICT,14340 NE 21ST,BELLEVUE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-2,Y,N
AMISTAD ELEMENTARY SCHOOL,2015-16,84,89.3%,9.5%,0.0%,1.2%,0.0%,1.2%,0.0%,0.0%,94.0%,94.0%,95.2%,96.4%,96.4%,94.0%,75,8,0,1,0,1,0,0,5,5,4,3,3,5,Y,PUBLIC SCHOOL,KENNEWICK SCHOOL DISTRICT,930 WEST 4TH AVENUE,KENNEWICK,BENTON,EDUCATIONAL SERVICE DISTRICT 123,PK-5,Y,N
ANACORTES HIGH SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,ANACORTES SCHOOL DISTRICT,1600 20TH STREET,ANACORTES,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,N,N
ANACORTES MIDDLE SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,ANACORTES SCHOOL DISTRICT,2202 M AVENUE,ANACORTES,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,7-8,N,N
ANDERSON ISLAND ELEMENTARY,2015-16,6,66.7%,0.0%,33.3%,0.0%,0.0%,0.0%,0.0%,0.0%,66.7%,66.7%,66.7%,83.3%,83.3%,83.3%,4,0,2,0,0,0,0,0,2,2,2,1,1,1,Y,PUBLIC SCHOOL,STEILACOOM HIST. SCHOOL DISTRICT,510 CHAMBERS,STEILACOOM,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
ANGELO GIAUDRONE MIDDLE SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,TACOMA SCHOOL DISTRICT,4902 S ALASKA ST,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,N,Y
