School_Name,School_Year,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_incomplete_for_diphtheria_tetanus,Number_incomplete_for_pertussis,Number_incomplete_for_measles_mumps_rubella,Number_incomplete_for_polio,Number_incomplete_for_HepatitisB,Number_incomplete_for_varicella,Reported,School_Type,School_District,Address,City,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade
STILLPOINT SCHOOL,2015-16,2,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PRIVATE SCHOOL,SAN JUAN ISLAND SCHOOL DISTRICT,775 PARK ST,FRIDAY HARBOR,SAN JUAN,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K-6,Y,Y
STILLWATER ELEMENTARY,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,RIVERVIEW SCHOOL DISTRICT,11530 320TH AVE NE,CARNATION,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
STRATTON ELEMENTARY,2015-16,76,47.4%,6.6%,28.9%,17.1%,2.6%,15.8%,0.0%,0.0%,76.3%,76.3%,73.7%,75.0%,78.9%,57.9%,36,5,22,13,2,12,0,0,18,18,20,19,16,32,Y,PUBLIC SCHOOL,NEWPORT SCHOOL DISTRICT,P. O. BOX 70,NEWPORT,PEND OREILLE,EDUCATIONAL SERVICE DISTRICT 101,PK-4,Y,N
SULAMITA CHRISTIAN SCHOOL,2015-16,21,61.9%,0.0%,0.0%,38.1%,0.0%,0.0%,38.1%,0.0%,61.9%,61.9%,61.9%,61.9%,61.9%,61.9%,13,0,0,8,0,0,8,0,8,8,8,8,8,8,Y,PRIVATE SCHOOL,MUKILTEO SCHOOL DISTRICT,12420 EVERGREEN DR,MUKILTEO,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-12,Y,Y
SULTAN ELEMENTARY SCHOOL,2015-16,86,75.6%,0.0%,22.1%,2.3%,1.2%,0.0%,0.0%,1.2%,83.7%,83.7%,81.4%,86.0%,89.5%,79.1%,65,0,19,2,1,0,0,1,14,14,16,12,9,18,Y,PUBLIC SCHOOL,SULTAN SCHOOL DISTRICT,501 DATE ST,SULTAN,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -5,Y,N
SULTAN MIDDLE SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,SULTAN SCHOOL DISTRICT,301 HIGH AVE.,SULTAN,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,6-8,N,Y
SULTAN SENIOR HIGH SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,SULTAN SCHOOL DISTRICT,13715 310TH AVE S.E.,SULTAN,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,N,N
SUMAS ELEMENTARY,2015-16,48,85.4%,2.1%,10.4%,2.1%,0.0%,2.1%,0.0%,0.0%,85.4%,85.4%,91.7%,85.4%,91.7%,91.7%,41,1,5,1,0,1,0,0,7,7,4,7,4,4,Y,PUBLIC SCHOOL,NOOKSACK VALLEY SCHOOL DISTRICT,1024 LAWSON ST,SUMAS,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,Y,N
SUMMIT ACADEMY,2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,PRIVATE SCHOOL,STANWOOD-CAMANO SCHOOL DISTRICT,7430 276TH ST NW,STANWOOD,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K-6,Y,Y
SUMMIT CLASSICAL CHRISTIAN SCHOOL,2015-16,11,54.5%,18.2%,0.0%,27.3%,9.1%,18.2%,0.0%,0.0%,54.5%,54.5%,54.5%,63.6%,72.7%,54.5%,6,2,0,3,1,2,0,0,5,5,5,4,3,5,Y,PRIVATE SCHOOL,SNOQUALMIE VALLEY SCHOOL DISTRICT,1556 BOALCH AVE NW,NORTH BEND,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-4,Y,N
SUMMIT PUBLIC CHARTER SCHOOL OLYMPUS,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,CHARTER SCHOOL,TACOMA SCHOOL DISTRICT,409 PUYALLUP AVE,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9,N,N
SUMMIT PUBLIC CHARTER SCHOOL SIERRA,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,CHARTER SCHOOL,SEATTLE PUBLIC SCHOOLS,1025 S KING ST,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9,N,N
SUMMIT SCHOOL,2015-16,42,83.3%,0.0%,4.8%,11.9%,0.0%,11.9%,0.0%,0.0%,97.6%,97.6%,95.2%,97.6%,92.9%,88.1%,35,0,2,5,0,5,0,0,1,1,2,1,3,5,Y,PUBLIC SCHOOL,CENTRAL VALLEY SCHOOL DISTRICT,612 S MCDONALD,SPOKANE VALLEY,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,K -8,Y,Y
SUMMIT VALLEY SCHOOL,2015-16,5,40.0%,0.0%,0.0%,60.0%,20.0%,40.0%,0.0%,0.0%,40.0%,40.0%,60.0%,40.0%,60.0%,60.0%,2,0,0,3,1,2,0,0,3,3,2,3,2,2,Y,PUBLIC SCHOOL,SUMMIT VALLEY SCHOOL DISTRICT,2360 ADDY-GIFFORD ROAD,ADDY,STEVENS,EDUCATIONAL SERVICE DISTRICT 101,PK-8,Y,Y
SUMMIT VIEW HIGH SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,BATTLE GROUND SCHOOL DISTRICT,PO BOX 200,BATTLE GROUND,CLARK,EDUCATIONAL SERVICE DISTRICT 112,9-12,N,N
SUMMITVIEW ELEMENTARY,2015-16,62,98.4%,0.0%,1.6%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,98.4%,61,0,1,0,0,0,0,0,0,0,0,0,0,1,Y,PUBLIC SCHOOL,WEST VALLEY SCHOOL DISTRICT (YAKIMA),6305 W CHESTNUT AVE,YAKIMA,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -4,Y,N
SUMNER HIGH SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,SUMNER SCHOOL DISTRICT,1707 MAIN ST,SUMNER,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
SUMNER MIDDLE SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,SUMNER SCHOOL DISTRICT,1508 WILLOW,SUMNER,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,N,Y
SUN VALLEY ELEMENTARY,2015-16,522,97.5%,0.0%,1.7%,0.8%,0.0%,0.8%,0.0%,0.0%,99.0%,99.0%,97.7%,98.9%,99.4%,97.7%,509,0,9,4,0,4,0,0,5,5,12,6,3,12,Y,PUBLIC SCHOOL,SUNNYSIDE SCHOOL DISTRICT,1220 N. 16TH STREET,SUNNYSIDE,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -K,Y,N
SUNFIELD WALDORF SCHOOL,2015-16,19,47.4%,26.3%,0.0%,26.3%,0.0%,26.3%,0.0%,0.0%,57.9%,57.9%,52.6%,52.6%,52.6%,52.6%,9,5,0,5,0,5,0,0,8,8,9,9,9,9,Y,PRIVATE SCHOOL,CHIMACUM SCHOOL DISTRICT,111 SUNFIELD LN,PORT HADLOCK,JEFFERSON,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,P-8,Y,Y
SUNNY HILLS ELEMENTARY,2015-16,92,97.8%,1.1%,1.1%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,98.9%,98.9%,100.0%,90,1,1,0,0,0,0,0,0,0,0,1,1,0,Y,PUBLIC SCHOOL,ISSAQUAH SCHOOL DISTRICT,3200 ISSAQUAH-PINE LAKE RD SE,SAMMAMISH,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
SUNNYCREST ELEMENTARY SCHOOL,2015-16,107,89.7%,6.5%,1.9%,1.9%,0.0%,1.9%,0.0%,0.0%,95.3%,95.3%,94.4%,94.4%,95.3%,90.7%,96,7,2,2,0,2,0,0,5,5,6,6,5,10,Y,PUBLIC SCHOOL,FEDERAL WAY SCHOOL DISTRICT,24629 42ND AV S,KENT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
SUNNYCREST ELEMENTARY SCHOOL,2015-16,118,90.7%,1.7%,4.2%,3.4%,0.0%,3.4%,0.0%,0.0%,91.5%,91.5%,93.2%,92.4%,95.8%,94.1%,107,2,5,4,0,4,0,0,10,10,8,9,5,7,Y,PUBLIC SCHOOL,LAKE STEVENS SCHOOL DISTRICT,3411 99TH AVE NE,LAKE STEVENS,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,Y,N
SUNNYLAND ELEMENTARY SCHOOL,2015-16,57,78.9%,7.0%,1.8%,12.3%,1.8%,10.5%,0.0%,0.0%,80.7%,80.7%,86.0%,84.2%,86.0%,80.7%,45,4,1,7,1,6,0,0,11,11,8,9,8,11,Y,PUBLIC SCHOOL,BELLINGHAM SCHOOL DISTRICT,2800 JAMES ST,BELLINGHAM,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,Y,N
SUNNYSIDE CHRISTIAN SCHOOL,2015-16,11,63.6%,9.1%,0.0%,27.3%,0.0%,27.3%,0.0%,0.0%,63.6%,63.6%,72.7%,63.6%,72.7%,72.7%,7,1,0,3,0,3,0,0,4,4,3,4,3,3,Y,PRIVATE SCHOOL,SUNNYSIDE SCHOOL DISTRICT,811 NORTH AVE,SUNNYSIDE,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,P-8,Y,Y
SUNNYSIDE CHRISTIAN SCHOOL (2ND LOCATION),2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PRIVATE SCHOOL,SUNNYSIDE SCHOOL DISTRICT,1820 SHELLER RD,SUNNYSIDE,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,9-12,N,N
SUNNYSIDE ELEMENTARY,2015-16,67,77.6%,0.0%,17.9%,4.5%,0.0%,4.5%,0.0%,0.0%,83.6%,83.6%,88.1%,82.1%,91.0%,86.6%,52,0,12,3,0,3,0,0,11,11,8,12,6,9,Y,PUBLIC SCHOOL,PULLMAN SCHOOL DISTRICT,425 SW SHIRLEY,PULLMAN,WHITMAN,EDUCATIONAL SERVICE DISTRICT 101,PK-5,Y,N
SUNNYSIDE ELEMENTARY,2015-16,95,90.5%,2.1%,1.1%,6.3%,3.2%,2.1%,1.1%,0.0%,94.7%,94.7%,95.8%,94.7%,94.7%,93.7%,86,2,1,6,3,2,1,0,5,5,4,5,5,6,Y,PUBLIC SCHOOL,MARYSVILLE SCHOOL DISTRICT,3707 SUNNYSIDE BLVD,MARYSVILLE,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -5,Y,N
SUNNYSIDE HIGH SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,SUNNYSIDE SCHOOL DISTRICT,1110 S. 6TH STREET,SUNNYSIDE,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,9-12,N,N
SUNNYSLOPE ELEMENTARY SCHOOL,2015-16,44,95.5%,0.0%,0.0%,4.5%,0.0%,4.5%,0.0%,0.0%,97.7%,97.7%,97.7%,97.7%,97.7%,97.7%,42,0,0,2,0,2,0,0,1,1,1,1,1,1,Y,PUBLIC SCHOOL,WENATCHEE SCHOOL DISTRICT,3109 SCHOOL STREET,WENATCHEE,CHELAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K -5,Y,N
SUNNYSLOPE ELEMENTARY SCHOOL,2015-16,81,97.5%,0.0%,0.0%,2.5%,0.0%,2.5%,0.0%,0.0%,98.8%,98.8%,98.8%,98.8%,97.5%,98.8%,79,0,0,2,0,2,0,0,1,1,1,1,2,1,Y,PUBLIC SCHOOL,SOUTH KITSAP SCHOOL DISTRICT,4183 SUNNYSLOPE RD SW,PORT ORCHARD,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,K -6,Y,Y
SUNRISE BEACH SCHOOL,2015-16,2,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PRIVATE SCHOOL,GRIFFIN SCHOOL DISTRICT,1601 NORTH STREET,OLYMPIA,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,P-12,Y,Y
SUNRISE ELEMENTARY,2015-16,44,88.6%,4.5%,2.3%,4.5%,2.3%,2.3%,0.0%,0.0%,95.5%,95.5%,97.7%,93.2%,88.6%,95.5%,39,2,1,2,1,1,0,0,2,2,1,3,5,2,Y,PUBLIC SCHOOL,NORTHSHORE SCHOOL DISTRICT,14075 172 AV NE,REDMOND,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y
SUNRISE ELEMENTARY,2015-16,68,91.2%,1.5%,4.4%,2.9%,0.0%,2.9%,0.0%,0.0%,94.1%,100.0%,92.6%,94.1%,94.1%,92.6%,62,1,3,2,0,2,0,0,4,0,5,4,4,5,Y,PUBLIC SCHOOL,PUYALLUP SCHOOL DISTRICT,2323 39TH AVE SE,PUYALLUP,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-6,Y,Y
SUNRISE ELEMENTARY,2015-16,70,77.1%,0.0%,17.1%,5.7%,2.9%,2.9%,0.0%,0.0%,84.3%,84.3%,84.3%,84.3%,90.0%,78.6%,54,0,12,4,2,2,0,0,11,11,11,11,7,15,Y,PUBLIC SCHOOL,ENUMCLAW SCHOOL DISTRICT,899 OSCEOLA AT 244TH AVE SE,ENUMCLAW,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
SUNRISE ELEMENTARY,2015-16,79,93.7%,0.0%,0.0%,6.3%,1.3%,3.8%,1.3%,0.0%,93.7%,94.9%,94.9%,94.9%,93.7%,94.9%,74,0,0,5,1,3,1,0,5,4,4,4,5,4,Y,PUBLIC SCHOOL,CENTRAL VALLEY SCHOOL DISTRICT,14603 E. 24TH AVE.,VERADALE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-5,Y,N
SUNRISE ELEMENTARY SCHOOL,2015-16,87,89.7%,2.3%,3.4%,4.6%,0.0%,4.6%,0.0%,0.0%,93.1%,93.1%,94.3%,92.0%,94.3%,94.3%,78,2,3,4,0,4,0,0,6,6,5,7,5,5,Y,PUBLIC SCHOOL,KENT SCHOOL DISTRICT,22300 132ND AVE SE,KENT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y
SUNSET ELEMENTARY,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,ISSAQUAH SCHOOL DISTRICT,4229 WEST LAKE SAMM PARKWAY SE,BELLEVUE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
SUNSET ELEMENTARY,2015-16,59,76.3%,3.4%,18.6%,1.7%,1.7%,0.0%,0.0%,0.0%,88.1%,88.1%,89.8%,89.8%,89.8%,83.1%,45,2,11,1,1,0,0,0,7,7,6,6,6,10,Y,PUBLIC SCHOOL,CHENEY SCHOOL DISTRICT,12824 W 12TH ST,AIRWAY HEIGHTS,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-5,Y,N
SUNSET ELEMENTARY,2015-16,86,93.0%,2.3%,1.2%,3.5%,2.3%,1.2%,0.0%,0.0%,100.0%,100.0%,97.7%,98.8%,96.5%,100.0%,80,2,1,3,2,1,0,0,0,0,2,1,3,0,Y,PUBLIC SCHOOL,ISSAQUAH SCHOOL DISTRICT,4229 W LAKE SAMM PKWY SE,BELLEVUE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
SUNSET ELEMENTARY SCHOOL,2015-16,101,62.4%,5.0%,21.8%,10.9%,1.0%,9.9%,0.0%,0.0%,78.2%,78.2%,75.2%,76.2%,83.2%,74.3%,63,5,22,11,1,10,0,0,22,22,25,24,17,26,Y,PUBLIC SCHOOL,EVERGREEN SCHOOL DISTRICT (CLARK),9001 NE 95TH STREET,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N
SUNSET PRIMARY,2015-16,70,90.0%,2.9%,2.9%,4.3%,0.0%,4.3%,0.0%,0.0%,92.9%,92.9%,95.7%,92.9%,97.1%,92.9%,63,2,2,3,0,3,0,0,5,5,3,5,2,5,Y,PUBLIC SCHOOL,UNIVERSITY PLACE SCHOOL DISTRICT,4523 97TH AVE W,UNIVERSITY PLACE,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -4,Y,N
SUNSET VIEW ELEMENTARY SCHOOL,2015-16,91,95.6%,0.0%,0.0%,4.4%,1.1%,3.3%,0.0%,0.0%,96.7%,96.7%,96.7%,96.7%,96.7%,95.6%,87,0,0,4,1,3,0,0,3,3,3,3,3,4,Y,PUBLIC SCHOOL,KENNEWICK SCHOOL DISTRICT,711 NORTH CENTER PARKWAY,KENNEWICK,BENTON,EDUCATIONAL SERVICE DISTRICT 123,K -5,Y,N
SUNSHINE MOUNTAIN CHRISTIAN,2015-16,30,93.3%,0.0%,0.0%,6.7%,0.0%,6.7%,0.0%,0.0%,93.3%,93.3%,93.3%,93.3%,93.3%,93.3%,28,0,0,2,0,2,0,0,2,2,2,2,2,2,Y,PRIVATE SCHOOL,KENT SCHOOL DISTRICT,25125 132ND AVE SE,KENT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-K,Y,N
SUQUAMISH ELEMENTARY SCHOOL,2015-16,52,92.3%,3.8%,0.0%,3.8%,0.0%,3.8%,0.0%,0.0%,92.3%,92.3%,96.2%,96.2%,94.2%,94.2%,48,2,0,2,0,2,0,0,4,4,2,2,3,3,Y,PUBLIC SCHOOL,NORTH KITSAP SCHOOL DISTRICT,18950 PARK AVE NE,SUQUAMISH,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,K -5,Y,N
SURPRISE LAKE MIDDLE SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,FIFE SCHOOL DISTRICT,2001 MILTON WAY,MILTON,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-7,N,Y
SWAN SCHOOL,2015-16,3,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PRIVATE SCHOOL,PORT TOWNSEND SCHOOL DISTRICT,2345 KUHN ST,PORT TOWNSEND,JEFFERSON,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,P-6,Y,Y
SWIFTWATER LEARNING CENTER,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,CLE ELUM-ROSLYN SCHOOL DISTRICT,P.O. BOX 906,ROSLYN,KITTITAS,EDUCATIONAL SERVICE DISTRICT 105,8-12,N,N
SYLVESTER MIDDLE SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,HIGHLINE SCHOOL DISTRICT,16222 SYLVESTER ROAD SW,BURIEN,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,7-8,N,N
TACOMA SCHOOL OF THE ARTS,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,TACOMA SCHOOL DISTRICT,1950 PACIFIC AVENUE,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,10-12,N,N
TACOMA WALDORF SCHOOL,2015-16,19,52.6%,0.0%,0.0%,47.4%,0.0%,31.6%,5.3%,10.5%,52.6%,52.6%,52.6%,52.6%,52.6%,52.6%,10,0,0,9,0,6,1,2,9,9,9,9,9,9,Y,PRIVATE SCHOOL,TACOMA SCHOOL DISTRICT,3315 S 19TH ST,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-5,Y,N
TAHOLAH ELEMENTARY & MIDDLE SCHOOL,2015-16,7,71.4%,0.0%,28.6%,0.0%,0.0%,0.0%,0.0%,0.0%,71.4%,71.4%,85.7%,85.7%,100.0%,85.7%,5,0,2,0,0,0,0,0,2,2,1,1,0,1,Y,PUBLIC SCHOOL,TAHOLAH SCHOOL DISTRICT,PO BOX 249,TAHOLAH,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,K -8,Y,Y
TAHOLAH HIGH SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,TAHOLAH SCHOOL DISTRICT,PO BOX 249,TAHOLAH,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,9-12,N,N
TAHOMA JR HIGH,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,TAHOMA SCHOOL DISTRICT,25600 SE SUMMIT LANDSBURG ROAD,RAVENSDALE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,8-9,N,N
TAHOMA MIDDLE SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,TAHOMA SCHOOL DISTRICT,24425 SE 216TH ST,MAPLE VALLEY,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-7,N,Y
TAHOMA SENIOR HIGH SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,TAHOMA SCHOOL DISTRICT,18200 SE 240TH ST,KENT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,10-12,N,N
TALBOT HILL ELEMENTARY SCHOOL,2015-16,72,95.8%,0.0%,1.4%,2.8%,0.0%,2.8%,0.0%,0.0%,97.2%,97.2%,97.2%,97.2%,98.6%,95.8%,69,0,1,2,0,2,0,0,2,2,2,2,1,3,Y,PUBLIC SCHOOL,RENTON SCHOOL DISTRICT,2300 TALBOT RD S,RENTON,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
TAPROOT SCHOOL,2015-16,6,50.0%,0.0%,0.0%,50.0%,0.0%,50.0%,0.0%,0.0%,66.7%,66.7%,66.7%,66.7%,66.7%,50.0%,3,0,0,3,0,3,0,0,2,2,2,2,2,3,Y,PRIVATE SCHOOL,SEATTLE PUBLIC SCHOOLS,9131 CALIFORNIA AVE SW,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-5,Y,N
TAPTEAL ELEMENTARY SCHOOL,2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,PUBLIC SCHOOL,RICHLAND SCHOOL DISTRICT,705 N 62ND AVE,WEST RICHLAND,BENTON,EDUCATIONAL SERVICE DISTRICT 123,PK-5,Y,N
TEAM HIGH SCHOOL,2015-16,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PUBLIC SCHOOL,WOODLAND SCHOOL DISTRICT,800 THIRD STREET,WOODLAND,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,9-12,N,N
