School_Name,School_Year,Reported,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_incomplete_for_diphtheria_tetanus,Number_incomplete_for_pertussis,Number_incomplete_for_measles_mumps_rubella,Number_incomplete_for_polio,Number_incomplete_for_HepatitisB,Number_incomplete_for_varicella,School_Type,School_District,Address,City,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade,
STARBUCK SCHOOL,2016-17,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PUBLIC SCHOOL,STARBUCK SCHOOL DISTRICT,717 TUCANNON ST,STARBUCK,COLUMBIA,EDUCATIONAL SERVICE DISTRICT 123,K-8,1,1,
STATE STREET HIGH SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,SEDRO-WOOLLEY SCHOOL DISTRICT,800 STATE STREET,SEDRO-WOOLLEY,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,0,0,
STEHEKIN ELEMENTARY,2016-17,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PUBLIC SCHOOL,STEHEKIN SCHOOL DISTRICT,PO BOX 37,STEHEKIN,CHELAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K -8,1,1,
STEILACOOM HIGH,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,STEILACOOM HIST. SCHOOL DISTRICT,54 SENTINEL DRIVE,STEILACOOM,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,0,0,
STELLA MARIS ACADEMY,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRIVATE SCHOOL,EDMONDS SCHOOL DISTRICT,520 NE RAVENNA BLVD,EDMONDS,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-8,1,1,
STELLA SCHOLA,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,LAKE WASHINGTON SCHOOL DISTRICT,13505 NE 75TH STREET,REDMOND,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,0,1,
STEM,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,LAKE WASHINGTON SCHOOL DISTRICT,400 228TH AVENUE NE,SAMMAMISH,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,0,0,
STEPTOE ELEMENTARY SCHOOL,2016-17,Y,8,75.0%,0.0%,0.0%,25.0%,0.0%,25.0%,0.0%,0.0%,75.0%,75.0%,75.0%,75.0%,75.0%,75.0%,6,0,0,2,0,2,0,0,2,2,2,2,2,2,PUBLIC SCHOOL,STEPTOE SCHOOL DISTRICT,PO BOX 138,STEPTOE,WHITMAN,EDUCATIONAL SERVICE DISTRICT 101,PK-8,1,1,
STERLING INTERMEDIATE SCHOOL,2016-17,Y,40,90.0%,0.0%,10.0%,0.0%,0.0%,0.0%,0.0%,0.0%,92.5%,100.0%,95.0%,92.5%,92.5%,92.5%,36,0,4,0,0,0,0,0,3,0,2,3,3,3,PUBLIC SCHOOL,EASTMONT SCHOOL DISTRICT,600 N. JAMES AVE.,EAST WENATCHEE,DOUGLAS,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K-7,1,1,
STEVENS ELEMENTARY,2016-17,Y,75,85.3%,10.7%,1.3%,2.7%,1.3%,1.3%,0.0%,1.3%,86.7%,86.7%,89.3%,88.0%,93.3%,88.0%,64,8,1,2,1,1,0,1,10,10,8,9,5,9,PUBLIC SCHOOL,SPOKANE SCHOOL DISTRICT,1717 E SINTO AVE,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-6,1,1,
STEVENS ELEMENTARY SCHOOL,2016-17,Y,61,85.2%,13.1%,0.0%,1.6%,0.0%,1.6%,0.0%,0.0%,86.9%,86.9%,85.2%,85.2%,96.7%,85.2%,52,8,0,1,0,1,0,0,8,8,9,9,2,9,PUBLIC SCHOOL,ABERDEEN SCHOOL DISTRICT,301 S. FARRAGUT,ABERDEEN,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,PK-6,1,1,
STEVENS ELEMENTARY SCHOOL,2016-17,Y,38,63.2%,0.0%,28.9%,7.9%,0.0%,7.9%,0.0%,0.0%,81.6%,81.6%,78.9%,73.7%,81.6%,84.2%,24,0,11,3,0,3,0,0,7,7,8,10,7,6,PUBLIC SCHOOL,SEATTLE PUBLIC SCHOOLS,1242 18 AV E,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,1,0,
STEVENS MIDDLE SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,PASCO SCHOOL DISTRICT,1120 N 22ND AVENUE,PASCO,FRANKLIN,EDUCATIONAL SERVICE DISTRICT 123,6-8,0,1,
STEVENS MIDDLE SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,PORT ANGELES SCHOOL DISTRICT,1139 W 14TH ST,PORT ANGELES,CLALLAM,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,7-8,0,0,
STEVENSON ELEMENTARY,2016-17,Y,139,56.1%,0.0%,43.9%,0.0%,0.0%,0.0%,0.0%,0.0%,74.1%,74.1%,74.8%,66.9%,80.6%,79.1%,78,0,61,0,0,0,0,0,36,36,35,46,27,29,PUBLIC SCHOOL,BELLEVUE SCHOOL DISTRICT,14220 NE 8TH STREET,BELLEVUE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,1,0,
STEVENSON ELEMENTARY,2016-17,Y,72,72.2%,5.6%,12.5%,9.7%,2.8%,4.2%,2.8%,0.0%,79.2%,79.2%,77.8%,77.8%,81.9%,77.8%,52,4,9,7,2,3,2,0,15,15,16,16,13,16,PUBLIC SCHOOL,STEVENSON-CARSON SCHOOL DISTRICT,P.O. BOX 850,STEVENSON,SKAMANIA,EDUCATIONAL SERVICE DISTRICT 112,K -2,1,0,
STEVENSON HIGH SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,STEVENSON-CARSON SCHOOL DISTRICT,P.O. BOX 850,STEVENSON,SKAMANIA,EDUCATIONAL SERVICE DISTRICT 112,9-12,0,0,
STEWART ELEMENTARY,2016-17,Y,54,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,54,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,PUYALLUP SCHOOL DISTRICT,426 4TH AVE NE,PUYALLUP,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-6,1,1,
STEWART MIDDLE SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,TACOMA SCHOOL DISTRICT,5010 PACIFIC AVE,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,0,1,
STILLAGUAMISH SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,ARLINGTON SCHOOL DISTRICT,1215 E 5TH,ARLINGTON,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -12,1,1,
STILLPOINT SCHOOL,2016-17,Y,1,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,PRIVATE SCHOOL,SAN JUAN ISLAND SCHOOL DISTRICT,775 PARK ST,FRIDAY HARBOR,SAN JUAN,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K-6,1,1,
STILLWATER ELEMENTARY,2016-17,Y,85,83.5%,1.2%,7.1%,8.2%,0.0%,8.2%,0.0%,0.0%,89.4%,89.4%,90.6%,90.6%,89.4%,90.6%,71,1,6,7,0,7,0,0,9,9,8,8,9,8,PUBLIC SCHOOL,RIVERVIEW SCHOOL DISTRICT,11530 320TH AVE NE,CARNATION,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,1,0,
STRATTON ELEMENTARY,2016-17,Y,72,47.2%,4.2%,30.6%,18.1%,1.4%,18.1%,0.0%,0.0%,65.3%,65.3%,66.7%,66.7%,80.6%,52.8%,34,3,22,13,1,13,0,0,25,25,24,24,14,34,PUBLIC SCHOOL,NEWPORT SCHOOL DISTRICT,P. O. BOX 70,NEWPORT,PEND OREILLE,EDUCATIONAL SERVICE DISTRICT 101,PK-4,1,0,
SULAMITA CHRISTIAN SCHOOL,2016-17,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRIVATE SCHOOL,MUKILTEO SCHOOL DISTRICT,12420 EVERGREEN DR,MUKILTEO,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-12,1,1,
SULTAN ELEMENTARY SCHOOL,2016-17,Y,90,62.2%,1.1%,26.7%,10.0%,2.2%,6.7%,1.1%,0.0%,77.8%,77.8%,76.7%,74.4%,77.8%,67.8%,56,1,24,9,2,6,1,0,20,20,21,23,20,29,PUBLIC SCHOOL,SULTAN SCHOOL DISTRICT,501 DATE ST,SULTAN,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -5,1,0,
SULTAN MIDDLE SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,SULTAN SCHOOL DISTRICT,301 HIGH AVE.,SULTAN,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,6-8,0,1,
SULTAN SENIOR HIGH SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,SULTAN SCHOOL DISTRICT,13715 310TH AVE S.E.,SULTAN,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,0,0,
SUMAS ELEMENTARY,2016-17,Y,57,77.2%,1.8%,15.8%,5.3%,0.0%,5.3%,0.0%,0.0%,86.0%,86.0%,84.2%,82.5%,94.7%,80.7%,44,1,9,3,0,3,0,0,8,8,9,10,3,11,PUBLIC SCHOOL,NOOKSACK VALLEY SCHOOL DISTRICT,1024 LAWSON ST,SUMAS,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,1,0,
SUMMIT CLASSICAL CHRISTIAN SCHOOL,2016-17,Y,3,66.7%,33.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,66.7%,100.0%,66.7%,66.7%,2,1,0,0,0,0,0,0,0,0,1,0,1,1,PRIVATE SCHOOL,SNOQUALMIE VALLEY SCHOOL DISTRICT,1556 BOALCH AVE NW,NORTH BEND,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-4,1,0,
SUMMIT PUBLIC SCHOOL: OLYMPUS,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,SUMMIT PUBLIC SCHOOL: OLYMPUS,210 S. HUDSON ST,SEATTLE,KING,OFFICE OF SUPERINTENDENT OF PUBLIC INSTRUCTION,9-12,0,0,
SUMMIT PUBLIC SCHOOL: SIERRA,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,SUMMIT PUBLIC SCHOOL: SIERRA,210 S HUDSON ST,SEATTLE,KING,OFFICE OF SUPERINTENDENT OF PUBLIC INSTRUCTION,9-12,0,0,
SUMMIT SCHOOL,2016-17,Y,74,82.4%,1.4%,2.7%,13.5%,0.0%,13.5%,0.0%,0.0%,93.2%,93.2%,94.6%,93.2%,89.2%,89.2%,61,1,2,10,0,10,0,0,5,5,4,5,8,8,PUBLIC SCHOOL,CENTRAL VALLEY SCHOOL DISTRICT,612 S MCDONALD,SPOKANE VALLEY,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,K -8,1,1,
SUMMIT VALLEY SCHOOL,2016-17,Y,8,75.0%,0.0%,12.5%,12.5%,0.0%,12.5%,0.0%,0.0%,87.5%,87.5%,75.0%,87.5%,87.5%,75.0%,6,0,1,1,0,1,0,0,1,1,2,1,1,2,PUBLIC SCHOOL,SUMMIT VALLEY SCHOOL DISTRICT,2360 ADDY-GIFFORD ROAD,ADDY,STEVENS,EDUCATIONAL SERVICE DISTRICT 101,PK-8,1,1,
SUMMIT VIEW HIGH SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,BATTLE GROUND SCHOOL DISTRICT,PO BOX 200,BATTLE GROUND,CLARK,EDUCATIONAL SERVICE DISTRICT 112,9-12,0,0,
SUMMIT VIEW MIDDLE SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,BATTLE GROUND SCHOOL DISTRICT,700 NW 9TH ST,BATTLE GROUND,CLARK,EDUCATIONAL SERVICE DISTRICT 112,7-8,0,0,
SUMMITVIEW ELEMENTARY,2016-17,Y,62,93.5%,3.2%,3.2%,0.0%,0.0%,0.0%,0.0%,0.0%,98.4%,98.4%,96.8%,95.2%,98.4%,96.8%,58,2,2,0,0,0,0,0,1,1,2,3,1,2,PUBLIC SCHOOL,WEST VALLEY SCHOOL DISTRICT (YAKIMA),6305 W CHESTNUT AVE,YAKIMA,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -4,1,0,
SUMNER HIGH SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,SUMNER SCHOOL DISTRICT,1707 MAIN ST,SUMNER,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,0,0,
SUMNER MIDDLE SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,SUMNER SCHOOL DISTRICT,1508 WILLOW,SUMNER,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,0,1,
SUN VALLEY ELEMENTARY,2016-17,Y,490,99.0%,0.4%,0.2%,0.4%,0.0%,0.4%,0.0%,0.0%,99.6%,99.6%,99.2%,99.6%,99.4%,99.4%,485,2,1,2,0,2,0,0,2,2,4,2,3,3,PUBLIC SCHOOL,SUNNYSIDE SCHOOL DISTRICT,1220 N. 16TH STREET,SUNNYSIDE,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -K,1,0,
SUNFIELD WALDORF SCHOOL,2016-17,Y,28,32.1%,10.7%,0.0%,57.1%,10.7%,46.4%,0.0%,0.0%,50.0%,50.0%,50.0%,42.9%,50.0%,42.9%,9,3,0,16,3,13,0,0,14,14,14,16,14,16,PRIVATE SCHOOL,CHIMACUM SCHOOL DISTRICT,111 SUNFIELD LN,PORT HADLOCK,JEFFERSON,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,P-8,1,1,
SUNNY HILLS ELEMENTARY,2016-17,Y,88,94.3%,1.1%,0.0%,4.5%,0.0%,4.5%,0.0%,0.0%,96.6%,96.6%,97.7%,95.5%,96.6%,95.5%,83,1,0,4,0,4,0,0,3,3,2,4,3,4,PUBLIC SCHOOL,ISSAQUAH SCHOOL DISTRICT,3200 ISSAQUAH-PINE LAKE RD SE,SAMMAMISH,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,1,0,
SUNNYCREST ELEMENTARY SCHOOL,2016-17,Y,103,83.5%,9.7%,3.9%,2.9%,1.0%,1.9%,0.0%,0.0%,91.3%,91.3%,95.1%,93.2%,96.1%,88.3%,86,10,4,3,1,2,0,0,9,9,5,7,4,12,PUBLIC SCHOOL,FEDERAL WAY SCHOOL DISTRICT,24629 42ND AV S,KENT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,1,0,
SUNNYCREST ELEMENTARY SCHOOL,2016-17,Y,115,91.3%,0.9%,3.5%,4.3%,0.9%,3.5%,0.0%,0.0%,93.0%,93.0%,93.9%,93.0%,95.7%,93.9%,105,1,4,5,1,4,0,0,8,8,7,8,5,7,PUBLIC SCHOOL,LAKE STEVENS SCHOOL DISTRICT,3411 99TH AVE NE,LAKE STEVENS,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,1,0,
SUNNYLAND ELEMENTARY SCHOOL,2016-17,Y,41,78.0%,9.8%,2.4%,9.8%,0.0%,9.8%,0.0%,0.0%,85.4%,85.4%,85.4%,82.9%,82.9%,80.5%,32,4,1,4,0,4,0,0,6,6,6,7,7,8,PUBLIC SCHOOL,BELLINGHAM SCHOOL DISTRICT,2800 JAMES ST,BELLINGHAM,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,1,0,
SUNNYSIDE CHRISTIAN SCHOOL,2016-17,Y,16,75.0%,18.8%,0.0%,6.3%,0.0%,6.3%,0.0%,0.0%,87.5%,87.5%,87.5%,81.3%,100.0%,81.3%,12,3,0,1,0,1,0,0,2,2,2,3,0,3,PRIVATE SCHOOL,SUNNYSIDE SCHOOL DISTRICT,811 NORTH AVE,SUNNYSIDE,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,P-8,1,1,
SUNNYSIDE CHRISTIAN SCHOOL (2ND LOCATION),2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRIVATE SCHOOL,SUNNYSIDE SCHOOL DISTRICT,1820 SHELLER RD,SUNNYSIDE,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,9-12,0,0,
SUNNYSIDE ELEMENTARY,2016-17,Y,87,90.8%,2.3%,1.1%,5.7%,2.3%,3.4%,0.0%,0.0%,95.4%,95.4%,95.4%,94.3%,97.7%,92.0%,79,2,1,5,2,3,0,0,4,4,4,5,2,7,PUBLIC SCHOOL,MARYSVILLE SCHOOL DISTRICT,3707 SUNNYSIDE BLVD,MARYSVILLE,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -5,1,0,
SUNNYSIDE ELEMENTARY,2016-17,Y,63,84.1%,0.0%,15.9%,0.0%,0.0%,0.0%,0.0%,0.0%,92.1%,92.1%,95.2%,90.5%,98.4%,92.1%,53,0,10,0,0,0,0,0,5,5,3,6,1,5,PUBLIC SCHOOL,PULLMAN SCHOOL DISTRICT,425 SW SHIRLEY,PULLMAN,WHITMAN,EDUCATIONAL SERVICE DISTRICT 101,PK-5,1,0,
SUNNYSIDE HIGH SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,SUNNYSIDE SCHOOL DISTRICT,1110 S. 6TH STREET,SUNNYSIDE,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,9-12,0,0,
SUNNYSLOPE ELEMENTARY SCHOOL,2016-17,Y,104,93.3%,4.8%,0.0%,1.9%,0.0%,1.9%,0.0%,0.0%,96.2%,96.2%,96.2%,96.2%,97.1%,96.2%,97,5,0,2,0,2,0,0,4,4,4,4,3,4,PUBLIC SCHOOL,SOUTH KITSAP SCHOOL DISTRICT,4183 SUNNYSLOPE RD SW,PORT ORCHARD,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,K -6,1,1,
SUNNYSLOPE ELEMENTARY SCHOOL,2016-17,Y,39,89.7%,0.0%,0.0%,10.3%,0.0%,10.3%,0.0%,0.0%,92.3%,92.3%,94.9%,92.3%,94.9%,89.7%,35,0,0,4,0,4,0,0,3,3,2,3,2,4,PUBLIC SCHOOL,WENATCHEE SCHOOL DISTRICT,3109 SCHOOL STREET,WENATCHEE,CHELAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K -5,1,0,
SUNRISE BEACH SCHOOL,2016-17,Y,3,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,3,0,0,0,0,0,0,0,0,0,0,0,0,0,PRIVATE SCHOOL,GRIFFIN SCHOOL DISTRICT,1601 NORTH STREET,OLYMPIA,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,P-12,1,1,
SUNRISE ELEMENTARY,2016-17,Y,88,92.0%,1.1%,2.3%,4.5%,0.0%,4.5%,0.0%,0.0%,95.5%,95.5%,95.5%,94.3%,94.3%,95.5%,81,1,2,4,0,4,0,0,4,4,4,5,5,4,PUBLIC SCHOOL,CENTRAL VALLEY SCHOOL DISTRICT,14603 E. 24TH AVE.,VERADALE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-5,1,0,
SUNRISE ELEMENTARY,2016-17,Y,66,81.8%,3.0%,13.6%,1.5%,0.0%,1.5%,0.0%,0.0%,90.9%,90.9%,87.9%,89.4%,93.9%,86.4%,54,2,9,1,0,1,0,0,6,6,8,7,4,9,PUBLIC SCHOOL,ENUMCLAW SCHOOL DISTRICT,899 OSCEOLA AT 244TH AVE SE,ENUMCLAW,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,1,0,
SUNRISE ELEMENTARY,2016-17,Y,46,95.7%,0.0%,4.3%,0.0%,0.0%,0.0%,0.0%,0.0%,97.8%,97.8%,95.7%,97.8%,97.8%,95.7%,44,0,2,0,0,0,0,0,1,1,2,1,1,2,PUBLIC SCHOOL,NORTHSHORE SCHOOL DISTRICT,14075 172 AV NE,REDMOND,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,1,1,
SUNRISE ELEMENTARY,2016-17,Y,74,55.4%,1.4%,41.9%,1.4%,0.0%,1.4%,0.0%,0.0%,73.0%,98.6%,77.0%,60.8%,94.6%,77.0%,41,1,31,1,0,1,0,0,20,1,17,29,4,17,PUBLIC SCHOOL,PUYALLUP SCHOOL DISTRICT,2323 39TH AVE SE,PUYALLUP,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-6,1,1,
SUNRISE ELEMENTARY SCHOOL,2016-17,Y,88,94.3%,1.1%,2.3%,2.3%,1.1%,1.1%,0.0%,0.0%,97.7%,97.7%,97.7%,96.6%,97.7%,95.5%,83,1,2,2,1,1,0,0,2,2,2,3,2,4,PUBLIC SCHOOL,KENT SCHOOL DISTRICT,22300 132ND AVE SE,KENT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,1,1,
SUNSET ELEMENTARY,2016-17,Y,78,94.9%,0.0%,3.8%,1.3%,0.0%,1.3%,0.0%,0.0%,96.2%,96.2%,96.2%,96.2%,97.4%,94.9%,74,0,3,1,0,1,0,0,3,3,3,3,2,4,PUBLIC SCHOOL,CHENEY SCHOOL DISTRICT,12824 W 12TH ST,AIRWAY HEIGHTS,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-5,1,0,
SUNSET ELEMENTARY,2016-17,Y,100,91.0%,2.0%,2.0%,5.0%,1.0%,5.0%,0.0%,0.0%,95.0%,95.0%,95.0%,96.0%,96.0%,93.0%,91,2,2,5,1,5,0,0,5,5,5,4,4,7,PUBLIC SCHOOL,ISSAQUAH SCHOOL DISTRICT,4229 W LAKE SAMM PKWY SE,BELLEVUE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,1,0,
SUNSET ELEMENTARY SCHOOL,2016-17,Y,87,64.4%,4.6%,19.5%,11.5%,2.3%,6.9%,1.1%,1.1%,72.4%,72.4%,77.0%,69.0%,79.3%,74.7%,56,4,17,10,2,6,1,1,24,24,20,27,18,22,PUBLIC SCHOOL,EVERGREEN SCHOOL DISTRICT (CLARK),9001 NE 95TH STREET,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,1,0,
SUNSET PRIMARY,2016-17,Y,95,90.5%,3.2%,3.2%,3.2%,0.0%,3.2%,0.0%,0.0%,95.8%,94.7%,93.7%,94.7%,95.8%,93.7%,86,3,3,3,0,3,0,0,4,5,6,5,4,6,PUBLIC SCHOOL,UNIVERSITY PLACE SCHOOL DISTRICT,4523 97TH AVE W,UNIVERSITY PLACE,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -4,1,0,
