School_Name,School_Year,Reported,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_incomplete_for_diphtheria_tetanus,Number_incomplete_for_pertussis,Number_incomplete_for_measles_mumps_rubella,Number_incomplete_for_polio,Number_incomplete_for_HepatitisB,Number_incomplete_for_varicella,School_Type,School_District,Address,City,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade,
MERIWETHER ELEMENTARY SCHOOL,2016-17,Y,52,82.7%,1.9%,11.5%,3.8%,3.8%,0.0%,0.0%,0.0%,84.6%,84.6%,84.6%,84.6%,92.3%,82.7%,43,1,6,2,2,0,0,0,8,8,8,8,4,9,PUBLIC SCHOOL,CLOVER PARK SCHOOL DISTRICT,10285 COMPASS AVE,JBLM LEWIS MCCHORD,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-5,1,0,
MESA ELEMENTARY,2016-17,Y,17,88.2%,0.0%,0.0%,11.8%,0.0%,11.8%,0.0%,0.0%,88.2%,88.2%,88.2%,88.2%,88.2%,88.2%,15,0,0,2,0,2,0,0,2,2,2,2,2,2,PUBLIC SCHOOL,NORTH FRANKLIN SCHOOL DISTRICT,600 W PEPIOT,MESA,FRANKLIN,EDUCATIONAL SERVICE DISTRICT 123,K -6,1,1,
METHOW VALLEY COMMUNITY SCHOOL,2016-17,Y,2,50.0%,0.0%,0.0%,50.0%,0.0%,50.0%,0.0%,0.0%,100.0%,50.0%,50.0%,50.0%,50.0%,50.0%,1,0,0,1,0,1,0,0,0,1,1,1,1,1,PRIVATE SCHOOL,METHOW VALLEY SCHOOL DISTRICT,31 WES CHEWUCH ROAD,WINTHROP,OKANOGAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,1-8,0,1,
METHOW VALLEY ELEMENTARY,2016-17,Y,47,63.8%,2.1%,27.7%,6.4%,0.0%,6.4%,0.0%,0.0%,80.9%,80.9%,74.5%,76.6%,80.9%,72.3%,30,1,13,3,0,3,0,0,9,9,12,11,9,13,PUBLIC SCHOOL,METHOW VALLEY SCHOOL DISTRICT,18 TWIN LAKES RD.,WINTHROP,OKANOGAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,PK-6,1,1,
MICHAEL ANDERSON ELEMENTARY,2016-17,Y,76,88.2%,2.6%,2.6%,6.6%,3.9%,2.6%,0.0%,0.0%,90.8%,90.8%,92.1%,89.5%,94.7%,90.8%,67,2,2,5,3,2,0,0,7,7,6,8,4,7,PUBLIC SCHOOL,MEDICAL LAKE SCHOOL DISTRICT,400 W. FAIRCHILD HIGHWAY,FAIRCHILD AFB,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-5,1,0,
MICHAEL T SIMMONS ELEMENTARY,2016-17,Y,97,81.4%,5.2%,7.2%,6.2%,0.0%,6.2%,0.0%,0.0%,87.6%,87.6%,90.7%,88.7%,88.7%,88.7%,79,5,7,6,0,6,0,0,12,12,9,11,11,11,PUBLIC SCHOOL,TUMWATER SCHOOL DISTRICT,1205 S 2ND AVENUE,TUMWATER,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,K -6,1,1,
MIDDLE COLLEGE HIGH SCHOOL,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,SEATTLE PUBLIC SCHOOLS,1330 N 90 ST,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,0,0,
MIDDLE SCHOOL OPTIONS,2016-17,Y,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,NORTH KITSAP SCHOOL DISTRICT,26331 BARBER CUT OFF ROAD NE,KINGSTON,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,6-8,0,1,
MIDLAND ELEMENTARY,2016-17,Y,86,91.9%,0.0%,0.0%,8.1%,0.0%,7.0%,1.2%,0.0%,93.0%,93.0%,91.9%,94.2%,93.0%,93.0%,79,0,0,7,0,6,1,0,6,6,7,5,6,6,PUBLIC SCHOOL,FRANKLIN PIERCE SCHOOL DISTRICT,2300 105TH ST E,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,1,0,
MIDWAY ELEMENTARY,2016-17,Y,108,53.7%,0.0%,46.3%,0.0%,0.0%,0.0%,0.0%,0.0%,80.6%,87.0%,87.0%,67.6%,83.3%,100.0%,58,0,50,0,0,0,0,0,21,14,14,35,18,0,PUBLIC SCHOOL,HIGHLINE SCHOOL DISTRICT,22447 24TH AVE S,DES MOINES,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-6,1,1,
