School_Name,School_Year,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_incomplete_for_diphtheria_tetanus,Number_incomplete_for_pertussis,Number_incomplete_for_measles_mumps_rubella,Number_incomplete_for_polio,Number_incomplete_for_HepatitisB,Number_incomplete_for_varicella,Reported,School_District,Address,City,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade
NEW HORIZON SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,RENTON SCHOOL DISTRICT,1111 S CARR RD,RENTON,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,5-12,N,Y
NEW HORIZONS HIGH SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,PASCO SCHOOL DISTRICT,3110 ARGENT ROAD,PASCO,FRANKLIN,EDUCATIONAL SERVICE DISTRICT 123,6-12,N,Y
NEW LIFE CHRISTIAN SCHOOL,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,EPHRATA SCHOOL DISTRICT,911 E DIVISION,EPHRATA,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,P-12,Y,Y
NEW MARKET HIGH SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,TUMWATER SCHOOL DISTRICT,7299 NEW MARKET S SW,TUMWATER,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,10-12,N,N
NEW MARKET SKILLS CENTER,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,TUMWATER SCHOOL DISTRICT,7299 NEW MARKET STREET,TUMWATER,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,11-12,N,N
NEW START,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,HIGHLINE SCHOOL DISTRICT,614 SW 120TH ST,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
NEWCASTLE ELEMENTARY SCHOOL,2014-15,99,96.0%,1.0%,0.0%,3.0%,0.0%,2.0%,0.0%,1.0%,98.0%,98.0%,99.0%,99.0%,98.0%,98.0%,95,1,0,3,0,2,0,1,2,2,1,1,2,2,Y,ISSAQUAH SCHOOL DISTRICT,8440 136TH AVE SE,NEWCASTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
NEWPORT CHILDREN'S SCHOOL,2014-15,38,94.7%,0.0%,0.0%,5.3%,5.3%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,97.4%,97.4%,36,0,0,2,2,0,0,0,0,0,0,0,1,1,Y,BELLEVUE SCHOOL DISTRICT,12930 SE NEWPORT WAY,BELLEVUE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-1,Y,N
NEWPORT HEIGHTS ELEMENTARY,2014-15,96,90.6%,0.0%,3.1%,6.3%,0.0%,6.3%,0.0%,0.0%,96.9%,100.0%,96.9%,96.9%,94.8%,93.8%,87,0,3,6,0,6,0,0,3,0,3,3,5,6,Y,BELLEVUE SCHOOL DISTRICT,5225 119TH AVE SE,BELLEVUE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
NEWPORT HIGH SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,NEWPORT SCHOOL DISTRICT,P. O. BOX 70,NEWPORT,PEND OREILLE,EDUCATIONAL SERVICE DISTRICT 101,9-12,N,N
NEWPORT SENIOR HIGH SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,BELLEVUE SCHOOL DISTRICT,4333 FACTORIA BOULEVARD SE,BELLEVUE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
NILE CHRISTIAN SCHOOL/HOPE ACADEMY,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,NACHES VALLEY SCHOOL DISTRICT,370 FLYING H LOOP,NACHES,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,7-12,N,N
NINE MILE FALLS ELEMENTARY,2014-15,22,77.3%,0.0%,4.5%,18.2%,4.5%,13.6%,0.0%,0.0%,86.4%,86.4%,86.4%,86.4%,90.9%,77.3%,17,0,1,4,1,3,0,0,3,3,3,3,2,5,Y,NINE MILE FALLS SCHOOL DISTRICT,10102 W. CHARLES RD,NINE MILE FALLS,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,K -5,Y,N
NISQUALLY MIDDLE SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,NORTH THURSTON PUBLIC SCHOOLS,8100 STEILACOOM RD SE,LACEY,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,7-8,N,N
NOB HILL ELEMENTARY SCHOOL,2014-15,93,84.9%,5.4%,8.6%,1.1%,0.0%,0.0%,0.0%,1.1%,90.3%,90.3%,90.3%,90.3%,98.9%,87.1%,79,5,8,1,0,0,0,1,9,9,9,9,1,12,Y,YAKIMA SCHOOL DISTRICT,801 S 34TH AVE,YAKIMA,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -5,Y,N
NOOKSACK ELEMENTARY,2014-15,62,83.9%,4.8%,8.1%,3.2%,0.0%,3.2%,0.0%,0.0%,87.1%,87.1%,88.7%,87.1%,88.7%,87.1%,52,3,5,2,0,2,0,0,8,8,7,8,7,8,Y,NOOKSACK VALLEY SCHOOL DISTRICT,3333 BRECKENRIDGE RD.,EVERSON,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,Y,N
NOOKSACK VALLEY HIGH SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,NOOKSACK VALLEY SCHOOL DISTRICT,3326 EAST BADGER ROAD,EVERSON,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,7-12,N,N
NOOKSACK VALLEY MIDDLE SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,NOOKSACK VALLEY SCHOOL DISTRICT,404 W. COLUMBIA ST.,EVERSON,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,6-8,N,Y
NORTH BEACH ELEMENTARY SCHOOL,2014-15,66,74.2%,1.5%,16.7%,7.6%,0.0%,7.6%,0.0%,0.0%,100.0%,100.0%,89.4%,83.3%,87.9%,92.4%,49,1,11,5,0,5,0,0,0,0,7,11,8,5,Y,SEATTLE PUBLIC SCHOOLS,9018 24 AV NW,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
NORTH BEACH JUNIOR HIGH SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,NORTH BEACH SCHOOL DISTRICT,PO BOX 969,OCEAN SHORES,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,7-8,N,N
NORTH BEACH SENIOR HIGH SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,NORTH BEACH SCHOOL DISTRICT,P.O. BOX 969,OCEAN SHORES,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,9-12,N,N
NORTH BEND ELEMENTARY SCHOOL,2014-15,94,96.8%,0.0%,0.0%,3.2%,2.1%,1.1%,0.0%,0.0%,98.9%,98.9%,97.9%,97.9%,97.9%,96.8%,91,0,0,3,2,1,0,0,1,1,2,2,2,3,Y,SNOQUALMIE VALLEY SCHOOL DISTRICT,400 E THIRD ST,NORTH BEND,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
NORTH BEND MONTESSORI INC,2014-15,8,75.0%,0.0%,25.0%,0.0%,0.0%,0.0%,0.0%,0.0%,75.0%,100.0%,75.0%,100.0%,100.0%,87.5%,6,0,2,0,0,0,0,0,2,0,2,0,0,1,Y,SNOQUALMIE VALLEY SCHOOL DISTRICT,248 BALLARAT AVE N,NORTH BEND,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-1,Y,N
NORTH CENTRAL HIGH SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,SPOKANE SCHOOL DISTRICT,1600 N HOWARD ST,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,9-12,N,N
NORTH COUNTRY CHRISTIAN SCHOOL,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,OROVILLE SCHOOL DISTRICT,737 MARY ANN CREEK RD,OROVILLE,OKANOGAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,P-12,Y,Y
NORTH ELEMENTARY,2014-15,50,78.0%,0.0%,14.0%,8.0%,0.0%,6.0%,0.0%,2.0%,82.0%,82.0%,80.0%,80.0%,86.0%,82.0%,39,0,7,4,0,3,0,1,9,9,10,10,7,9,Y,MOSES LAKE SCHOOL DISTRICT,1200 WEST CRAIG STREET,MOSES LAKE,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K -5,Y,N
NORTH HILL ELEMENTARY,2014-15,86,94.2%,0.0%,4.7%,1.2%,0.0%,0.0%,1.2%,0.0%,98.8%,98.8%,98.8%,98.8%,98.8%,98.8%,81,0,4,1,0,0,1,0,1,1,1,1,1,1,Y,HIGHLINE SCHOOL DISTRICT,440 S 186TH STREET,BURIEN,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y
NORTH KITSAP HIGH SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,NORTH KITSAP SCHOOL DISTRICT,1780 NE HOSTMARK,POULSBO,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,9-12,N,N
NORTH LAKE MIDDLE SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,LAKE STEVENS SCHOOL DISTRICT,2202 123RD AVE NE,LAKE STEVENS,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,6-7,N,Y
NORTH MASON HOMELINK PROGRAM,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,NORTH MASON SCHOOL DISTRICT,71 EAST CAMPUS DR.,BELFAIR,MASON,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,K -12,Y,Y
NORTH MASON SENIOR HIGH SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,NORTH MASON SCHOOL DISTRICT,200 E. CAMPUS DR.,BELFAIR,MASON,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,9-12,N,N
NORTH MIDDLE SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,EVERETT SCHOOL DISTRICT,2514 RAINIER AVE.,EVERETT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,6-8,N,Y
NORTH PINES MIDDLE SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,CENTRAL VALLEY SCHOOL DISTRICT,701 N. PINES RD.,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,6-8,N,Y
NORTH RIVER SCHOOL,2014-15,5,40.0%,0.0%,60.0%,0.0%,0.0%,0.0%,0.0%,0.0%,40.0%,40.0%,40.0%,40.0%,60.0%,40.0%,2,0,3,0,0,0,0,0,3,3,3,3,2,3,Y,NORTH RIVER SCHOOL DISTRICT,2867 NORTH RIVER RD,COSMOPOLIS,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,PK-12,Y,Y
NORTH SEATTLE FRENCH SCHOOL,2014-15,15,93.3%,0.0%,0.0%,6.7%,6.7%,0.0%,0.0%,0.0%,100.0%,100.0%,93.3%,93.3%,93.3%,93.3%,14,0,0,1,1,0,0,0,0,0,1,1,1,1,Y,SEATTLE PUBLIC SCHOOLS,6615 DAYTON AVE N,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K,Y,N
NORTH STAR ELEMENTARY,2014-15,84,94.0%,1.2%,0.0%,4.8%,0.0%,4.8%,0.0%,0.0%,95.2%,95.2%,96.4%,95.2%,96.4%,95.2%,79,1,0,4,0,4,0,0,4,4,3,4,3,4,Y,BETHEL SCHOOL DISTRICT,7719 224TH ST E,GRAHAM,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y
NORTH TAPPS MIDDLE SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,DIERINGER SCHOOL DISTRICT,20029 12TH STREET E.,LAKE TAPPS,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,N,Y
NORTH THURSTON HIGH SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,NORTH THURSTON PUBLIC SCHOOLS,600 SLEATER KINNEY RD NE,LACEY,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,9-12,N,N
NORTH WALL ELEMENTARY,2014-15,10,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,10,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,SPOKANE SCHOOL DISTRICT,9408 N WALL ST,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,P-6,Y,Y
NORTH WHIDBEY CHRISTIAN HIGH,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,OAK HARBOR SCHOOL DISTRICT,675 E WHIDBEY AVE,OAK HARBOR,ISLAND,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,N,N
NORTH WHIDBEY KID'S ACADEMY,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,OAK HARBOR SCHOOL DISTRICT,297 NE HARVEST DR.,OAK HARBOR,ISLAND,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-2,Y,N
NORTH WHIDBEY MIDDLE SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,OAK HARBOR SCHOOL DISTRICT,67 NE IZETT ST.,OAK HARBOR,ISLAND,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,6-8,N,Y
NORTHERN HEIGHTS ELEMENTARY SCHL,2014-15,59,81.4%,11.9%,1.7%,5.1%,0.0%,5.1%,0.0%,0.0%,86.4%,86.4%,86.4%,86.4%,89.8%,86.4%,48,7,1,3,0,3,0,0,8,8,8,8,6,8,Y,BELLINGHAM SCHOOL DISTRICT,4000 MAGRATH RD,BELLINGHAM,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,Y,N
NORTHERN LIGHTS MONTESSORI SCHOOL,2014-15,20,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,20,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,LAKE WASHINGTON SCHOOL DISTRICT,8460 160TH AVE NE,REDMOND,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-2,Y,N
NORTHERN LIGHTS MONTESSORI SCHOOL WILLOWS CAMPUS,2014-15,7,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,7,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,LAKE WASHINGTON SCHOOL DISTRICT,14615 NE 91ST ST,REDMOND,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-2,Y,N
NORTHGATE ELEMENTARY SCHOOL,2014-15,43,72.1%,0.0%,27.9%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,79.1%,76.7%,86.0%,76.7%,31,0,12,0,0,0,0,0,0,0,9,10,6,10,Y,SEATTLE PUBLIC SCHOOLS,11725 1 AV NE,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
NORTHLAKE ELEMENTARY SCHOOL,2014-15,54,94.4%,3.7%,0.0%,1.9%,0.0%,1.9%,0.0%,0.0%,98.1%,98.1%,94.4%,98.1%,98.1%,94.4%,51,2,0,1,0,1,0,0,1,1,3,1,1,3,Y,LONGVIEW SCHOOL DISTRICT,2210 OLYMPIA WAY,LONGVIEW,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N
NORTHPORT ELEMENTARY SCHOOL,2014-15,7,28.6%,14.3%,42.9%,14.3%,0.0%,14.3%,0.0%,0.0%,42.9%,42.9%,42.9%,42.9%,71.4%,28.6%,2,1,3,1,0,1,0,0,4,4,4,4,2,5,Y,NORTHPORT SCHOOL DISTRICT,PO BOX 1280,NORTHPORT,STEVENS,EDUCATIONAL SERVICE DISTRICT 101,K -8,Y,Y
NORTHPORT HIGH SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,NORTHPORT SCHOOL DISTRICT,PO BOX 1280,NORTHPORT,STEVENS,EDUCATIONAL SERVICE DISTRICT 101,9-12,N,N
NORTHPORT HOMELINK PROGRAM,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,NORTHPORT SCHOOL DISTRICT,PO BOX 1280,NORTHPORT,STEVENS,EDUCATIONAL SERVICE DISTRICT 101,K-12,Y,Y
NORTHSHORE CHRISTIAN ACADEMY,2014-15,97,89.7%,1.0%,0.0%,9.3%,2.1%,7.2%,0.0%,0.0%,92.8%,92.8%,91.8%,92.8%,92.8%,90.7%,87,1,0,9,2,7,0,0,7,7,8,7,7,9,Y,MUKILTEO SCHOOL DISTRICT,5700 23RD DR W,EVERETT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-8,Y,Y
NORTHSHORE JUNIOR HIGH,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,NORTHSHORE SCHOOL DISTRICT,12101 NE 160 ST,BOTHELL,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,7-9,N,N
NORTHSHORE NETWORKS,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,NORTHSHORE SCHOOL DISTRICT,3330 MONTE VILLA PARKWAY,BOTHELL,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -12,Y,Y
NORTHSHORE SPECIAL SERVICES,2014-15,3,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,3,0,0,0,0,0,3,3,3,3,3,3,Y,NORTHSHORE SCHOOL DISTRICT,3330 MONTE VILLA PARKWAY,BOTHELL,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-12,Y,Y
NORTHSTAR MIDDLE SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,LAKE WASHINGTON SCHOOL DISTRICT,11822 NE 75TH ST,KIRKLAND,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,N,Y
NORTHWEST ACHIEVE SCHOOL,2014-15,70,98.6%,0.0%,1.4%,0.0%,0.0%,0.0%,0.0%,0.0%,98.6%,98.6%,98.6%,98.6%,98.6%,98.6%,69,0,1,0,0,0,0,0,1,1,1,1,1,1,Y,SPOKANE SCHOOL DISTRICT,116 W INDIANA AVE,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,K-3,Y,N
NORTHWEST CHRISTIAN HIGH SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,NORTH THURSTON PUBLIC SCHOOLS,4710 PARK CENTER AVE NE,LACEY,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,9-12,N,N
NORTHWEST CHRISTIAN SCHOOL,2014-15,25,68.0%,24.0%,0.0%,8.0%,0.0%,8.0%,0.0%,0.0%,76.0%,76.0%,68.0%,72.0%,84.0%,76.0%,17,6,0,2,0,2,0,0,6,6,8,7,4,6,Y,MEAD SCHOOL DISTRICT,5104 E BERNHILL RD,COLBERT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,9-12,N,N
NORTHWEST CHRISTIAN SCHOOL,2014-15,21,81.0%,0.0%,0.0%,19.0%,9.5%,9.5%,0.0%,0.0%,85.7%,85.7%,90.5%,90.5%,85.7%,85.7%,17,0,0,4,2,2,0,0,3,3,2,2,3,3,Y,PUYALLUP SCHOOL DISTRICT,904 SHAW RD,PUYALLUP,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y
NORTHWEST CHRISTIAN SCHOOL,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,SPOKANE SCHOOL DISTRICT,1412 W CENTRAL AVE,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,P-8,Y,Y
NORTHWEST FREE SCHOOL,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,RENTON SCHOOL DISTRICT,1427 QUEEN AVE NE,RENTON,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-8,Y,Y
NORTHWEST LIBERTY SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,NORTHSHORE SCHOOL DISTRICT,13120 NE 177TH PL  A-104,WOODINVILLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
NORTHWEST MONTESSORI,2014-15,14,78.6%,0.0%,14.3%,7.1%,0.0%,7.1%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,11,0,2,1,0,1,0,0,0,0,0,0,0,0,Y,SEATTLE PUBLIC SCHOOLS,7400 25TH AVE NE,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-6,Y,Y
NORTHWEST SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,SEATTLE PUBLIC SCHOOLS,1415 SUMMIT AVE,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-12,N,Y
NORTHWEST SCHOOL FOR DEAF AND HARD-OF-HEARING CHILDREN,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,SHORELINE SCHOOL DISTRICT,15303 WESTMINSTER WAY N,SHORELINE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y
