School_Name,School_Year,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_incomplete_for_diphtheria_tetanus,Number_incomplete_for_pertussis,Number_incomplete_for_measles_mumps_rubella,Number_incomplete_for_polio,Number_incomplete_for_HepatitisB,Number_incomplete_for_varicella,Reported,School_District,Address,City,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade
SNO-KING ACADEMY,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,SHORELINE SCHOOL DISTRICT,19741 53RD AVE NE,LAKE FOREST PARK,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,3-12,N,Y
SNOQUALMIE ACCESS,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,SNOQUALMIE VALLEY SCHOOL DISTRICT,P.O. BOX 400,SNOQUALMIE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-12,Y,Y
SNOQUALMIE ELEMENTARY,2014-15,106,86.8%,0.9%,4.7%,7.5%,1.9%,5.7%,0.0%,0.0%,91.5%,91.5%,89.6%,90.6%,90.6%,87.7%,92,1,5,8,2,6,0,0,9,9,11,10,10,13,Y,SNOQUALMIE VALLEY SCHOOL DISTRICT,755 PARK ST,SNOQUALMIE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
SNOQUALMIE PARENT PARTNERSHIP,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,SNOQUALMIE VALLEY SCHOOL DISTRICT,400 EAST 3RD ST,NORTH BEND,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-5,Y,N
SNOQUALMIE SPRINGS SCHOOL,2014-15,34,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,34,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,ISSAQUAH SCHOOL DISTRICT,25237 SE ISSAQUAH FALL CITY RD,ISSAQUAH,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-3,Y,N
SNOWDON ELEMENTARY,2014-15,79,50.6%,1.3%,40.5%,7.6%,5.1%,2.5%,0.0%,0.0%,60.8%,60.8%,62.0%,59.5%,77.2%,58.2%,40,1,32,6,4,2,0,0,31,31,30,32,18,33,Y,CHENEY SCHOOL DISTRICT,6323 S HOLLY ROAD,CHENEY,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-5,Y,N
SOAP LAKE ELEMENTARY,2014-15,26,69.2%,3.8%,23.1%,3.8%,3.8%,0.0%,0.0%,0.0%,80.8%,80.8%,76.9%,76.9%,92.3%,80.8%,18,1,6,1,1,0,0,0,5,5,6,6,2,5,Y,SOAP LAKE SCHOOL DISTRICT,PO BOX  908,SOAP LAKE,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K -5,Y,N
SOAP LAKE MIDDLE AND HIGH SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,SOAP LAKE SCHOOL DISTRICT,PO BOX 878,SOAP LAKE,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,6-12,N,Y
SOLOMON CHRISTIAN SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,EDMONDS SCHOOL DISTRICT,8021 230TH ST SW,EDMONDS,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,7-12,N,N
SOMERSET ELEMENTARY SCHOOL,2014-15,76,96.1%,0.0%,1.3%,2.6%,0.0%,2.6%,0.0%,0.0%,100.0%,100.0%,98.7%,100.0%,98.7%,97.4%,73,0,1,2,0,2,0,0,0,0,1,0,1,2,Y,BELLEVUE SCHOOL DISTRICT,14100 SOMERSET BOULEVARD SE,BELLEVUE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
SONSHINE CHRISTIAN ELEMENTARY,2014-15,10,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,10,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,VANCOUVER SCHOOL DISTRICT,11208 NE HAZEL DELL AVENUE,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K-2,Y,N
SOOS CREEK ELEMENTARY SCHOOL,2014-15,50,56.0%,8.0%,34.0%,2.0%,2.0%,0.0%,0.0%,0.0%,68.0%,68.0%,74.0%,68.0%,88.0%,72.0%,28,4,17,1,1,0,0,0,16,16,13,16,6,14,Y,KENT SCHOOL DISTRICT,12651 SE 218TH PLACE,KENT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y
SOUND VIEW EDUCATION DBA STERLING WEST SEATTLE CAMPUS,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,SEATTLE PUBLIC SCHOOLS,9205 3RD AVE SW,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,3-12,N,Y
SOUNDVIEW SCHOOL,2014-15,15,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,15,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,EDMONDS SCHOOL DISTRICT,6515 196TH ST SW,LYNNWOOD,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-8,Y,Y
SOUTH BAY ELEMENTARY,2014-15,91,90.1%,1.1%,4.4%,4.4%,0.0%,4.4%,0.0%,0.0%,94.5%,94.5%,96.7%,94.5%,92.3%,94.5%,82,1,4,4,0,4,0,0,5,5,3,5,7,5,Y,NORTH THURSTON PUBLIC SCHOOLS,3845 SLEATER KINNEY RD NE,LACEY,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,K -6,Y,Y
SOUTH BEND HIGH SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,SOUTH BEND SCHOOL DISTRICT,PO BOX 437,SOUTH BEND,PACIFIC,EDUCATIONAL SERVICE DISTRICT 113,7-12,N,N
SOUTH BEND HOME LINK,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,SOUTH BEND SCHOOL DISTRICT,400 EAST 1ST ST,SOUTH BEND,PACIFIC,EDUCATIONAL SERVICE DISTRICT 113,K-12,Y,Y
SOUTH COLBY ELEMENTARY,2014-15,41,95.1%,0.0%,0.0%,4.9%,0.0%,4.9%,0.0%,0.0%,95.1%,95.1%,95.1%,95.1%,95.1%,95.1%,39,0,0,2,0,2,0,0,2,2,2,2,2,2,Y,SOUTH KITSAP SCHOOL DISTRICT,3281 BANNER ROAD SE,PORT ORCHARD,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,K -6,Y,Y
SOUTH KITSAP CHRISTIAN SCHOOL,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,SOUTH KITSAP SCHOOL DISTRICT,1780 SE LINCOLN AVE,PORT ORCHARD,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,P-12,Y,Y
SOUTH KITSAP HIGH SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,SOUTH KITSAP SCHOOL DISTRICT,425 MITCHELL AVE,PORT ORCHARD,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,10-12,N,N
SOUTH LAKE HIGH SCHOOL,2014-15,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,SEATTLE PUBLIC SCHOOLS,8601 RAINIER AVE S,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
SOUTH PINES ELEMENTARY,2014-15,60,83.3%,5.0%,6.7%,5.0%,3.3%,1.7%,0.0%,0.0%,86.7%,86.7%,88.3%,88.3%,93.3%,88.3%,50,3,4,3,2,1,0,0,8,8,7,7,4,7,Y,CENTRAL VALLEY SCHOOL DISTRICT,12021 E. 24TH AVE.,SPOKANE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-5,Y,N
SOUTH RIDGE ELEMENTARY,2014-15,73,87.7%,0.0%,0.0%,12.3%,4.1%,5.5%,1.4%,1.4%,89.0%,89.0%,89.0%,89.0%,89.0%,84.9%,64,0,0,9,3,4,1,1,8,8,8,8,8,11,Y,RIDGEFIELD SCHOOL DISTRICT,502 NW 199TH STREET,RIDGEFIELD,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -6,Y,Y
SOUTH SHORE K-8 SCHOOL,2014-15,56,82.1%,0.0%,16.1%,1.8%,0.0%,1.8%,0.0%,0.0%,100.0%,100.0%,91.1%,92.9%,96.4%,91.1%,46,0,9,1,0,1,0,0,0,0,5,4,2,5,Y,SEATTLE PUBLIC SCHOOLS,4800 S HENDERSON ST,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-7,Y,Y
