School_Name,School_Year,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,number_incomplete_for_diphtheria_tetanus,number_incomplete_for_pertussis,number_incomplete_for_measles_mumps_rubella,number_incomplete_for_polio,number_incomplete_for_HepatitisB,number_incomplete_for_varicella,Reported,School_District,Address,City,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade
SUNNYCREST ELEMENTARY SCHOOL,2013-14,118,85.6%,0.8%,11.9%,1.7%,1.7%,0.0%,0.0%,0.0%,89.8%,89.8%,91.5%,89.0%,98.3%,90.7%,101,1,14,2,2,0,0,0,12,12,10,13,2,11,Y,LAKE STEVENS SCHOOL DISTRICT,3411 99TH AVE NE,LAKE STEVENS,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,Y,N
SUNNYLAND ELEMENTARY SCHOOL,2013-14,81,81.5%,7.4%,3.7%,7.4%,3.7%,3.7%,0.0%,0.0%,87.7%,87.7%,90.1%,86.4%,86.4%,88.9%,66,6,3,6,3,3,0,0,10,10,8,11,11,9,Y,BELLINGHAM SCHOOL DISTRICT,2800 JAMES ST,BELLINGHAM,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,Y,N
SUNNYSIDE CHRISTIAN SCHOOL,2013-14,26,88.5%,7.7%,0.0%,3.8%,0.0%,3.8%,0.0%,0.0%,96.2%,96.2%,92.3%,92.3%,96.2%,88.5%,23,2,0,1,0,1,0,0,1,1,2,2,1,3,Y,SUNNYSIDE SCHOOL DISTRICT,811 NORTH AVE,SUNNYSIDE,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,P-8,Y,Y
SUNNYSIDE CHRISTIAN SCHOOL (2ND LOCATION),2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,SUNNYSIDE SCHOOL DISTRICT,1820 SHELLER RD,SUNNYSIDE,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,9-12,N,N
SUNNYSIDE ELEMENTARY,2013-14,84,96.4%,1.2%,0.0%,2.4%,2.4%,0.0%,0.0%,0.0%,96.4%,96.4%,97.6%,96.4%,97.6%,97.6%,81,1,0,2,2,0,0,0,3,3,2,3,2,2,Y,MARYSVILLE SCHOOL DISTRICT,3707 SUNNYSIDE BLVD,MARYSVILLE,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -5,Y,N
SUNNYSIDE ELEMENTARY,2013-14,74,83.8%,0.0%,13.5%,2.7%,0.0%,2.7%,0.0%,0.0%,89.2%,89.2%,89.2%,87.8%,94.6%,89.2%,62,0,10,2,0,2,0,0,8,8,8,9,4,8,Y,PULLMAN SCHOOL DISTRICT,425 SW SHIRLEY,PULLMAN,WHITMAN,EDUCATIONAL SERVICE DISTRICT 101,PK-5,Y,N
SUNNYSIDE HIGH SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,SUNNYSIDE SCHOOL DISTRICT,1110 S. 6TH STREET,SUNNYSIDE,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,9-12,N,N
SUNNYSLOPE ELEMENTARY SCHOOL,2013-14,78,93.6%,0.0%,0.0%,6.4%,0.0%,6.4%,0.0%,0.0%,96.2%,94.9%,94.9%,94.9%,93.6%,93.6%,73,0,0,5,0,5,0,0,3,4,4,4,5,5,Y,SOUTH KITSAP SCHOOL DISTRICT,4183 SUNNYSLOPE RD SW,PORT ORCHARD,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,K -6,Y,Y
SUNNYSLOPE ELEMENTARY SCHOOL,2013-14,42,95.2%,2.4%,2.4%,0.0%,0.0%,0.0%,0.0%,0.0%,97.6%,97.6%,95.2%,95.2%,97.6%,97.6%,40,1,1,0,0,0,0,0,1,1,2,2,1,1,Y,WENATCHEE SCHOOL DISTRICT,3109 SCHOOL STREET,WENATCHEE,CHELAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K -5,Y,N
SUNRISE BEACH SCHOOL,2013-14,5,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,GRIFFIN SCHOOL DISTRICT,1601 NORTH STREET,OLYMPIA,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,P-12,Y,Y
SUNRISE ELEMENTARY,2013-14,83,89.2%,1.2%,1.2%,8.4%,0.0%,8.4%,0.0%,0.0%,92.8%,92.8%,92.8%,92.8%,92.8%,89.2%,74,1,1,7,0,7,0,0,6,6,6,6,6,9,Y,CENTRAL VALLEY SCHOOL DISTRICT,14603 E. 24TH AVE.,VERADALE,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-5,Y,N
SUNRISE ELEMENTARY,2013-14,69,75.4%,0.0%,18.8%,5.8%,1.4%,5.8%,0.0%,0.0%,81.2%,81.2%,82.6%,79.7%,88.4%,79.7%,52,0,13,4,1,4,0,0,13,13,12,14,8,14,Y,ENUMCLAW SCHOOL DISTRICT,899 OSCEOLA AT 244TH AVE SE,ENUMCLAW,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
SUNRISE ELEMENTARY,2013-14,47,83.0%,2.1%,2.1%,12.8%,2.1%,10.6%,0.0%,0.0%,97.9%,97.9%,89.4%,95.7%,89.4%,91.5%,39,1,1,6,1,5,0,0,1,1,5,2,5,4,Y,NORTHSHORE SCHOOL DISTRICT,14075 172 AV NE,REDMOND,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y
SUNRISE ELEMENTARY,2013-14,63,63.5%,11.1%,23.8%,1.6%,0.0%,1.6%,0.0%,0.0%,81.0%,100.0%,87.3%,79.4%,93.7%,87.3%,40,7,15,1,0,1,0,0,12,0,8,13,4,8,Y,PUYALLUP SCHOOL DISTRICT,2323 39TH AVE SE,PUYALLUP,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-6,Y,Y
SUNRISE ELEMENTARY SCHOOL,2013-14,75,89.3%,0.0%,9.3%,1.3%,0.0%,1.3%,0.0%,0.0%,96.0%,96.0%,96.0%,93.3%,97.3%,93.3%,67,0,7,1,0,1,0,0,3,3,3,5,2,5,Y,KENT SCHOOL DISTRICT,22300 132ND AVE SE,KENT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y
SUNSET ELEMENTARY,2013-14,85,78.8%,2.4%,15.3%,3.5%,1.2%,2.4%,0.0%,0.0%,83.5%,83.5%,85.9%,84.7%,92.9%,83.5%,67,2,13,3,1,2,0,0,14,14,12,13,6,14,Y,CHENEY SCHOOL DISTRICT,12824 W 12TH ST,AIRWAY HEIGHTS,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-5,Y,N
SUNSET ELEMENTARY,2013-14,96,95.8%,1.0%,0.0%,3.1%,2.1%,1.0%,0.0%,0.0%,100.0%,100.0%,97.9%,97.9%,97.9%,96.9%,92,1,0,3,2,1,0,0,0,0,2,2,2,3,Y,ISSAQUAH SCHOOL DISTRICT,4229 W LAKE SAMM PKWY SE,BELLEVUE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
SUNSET ELEMENTARY SCHOOL,2013-14,89,68.5%,2.2%,14.6%,14.6%,2.2%,11.2%,0.0%,1.1%,74.2%,74.2%,76.4%,74.2%,82.0%,71.9%,61,2,13,13,2,10,0,1,23,23,21,23,16,25,Y,EVERGREEN SCHOOL DISTRICT (CLARK),9001 NE 95TH STREET,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N
SUNSET PRIMARY,2013-14,69,92.8%,0.0%,1.4%,5.8%,2.9%,2.9%,0.0%,0.0%,95.7%,95.7%,95.7%,94.2%,97.1%,94.2%,64,0,1,4,2,2,0,0,3,3,3,4,2,4,Y,UNIVERSITY PLACE SCHOOL DISTRICT,4523 97TH AVE W,UNIVERSITY PLACE,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -4,Y,N
SUNSET VIEW ELEMENTARY SCHOOL,2013-14,90,88.9%,2.2%,0.0%,8.9%,2.2%,5.6%,1.1%,0.0%,96.7%,96.7%,96.7%,95.6%,96.7%,94.4%,80,2,0,8,2,5,1,0,3,3,3,4,3,5,Y,KENNEWICK SCHOOL DISTRICT,711 NORTH CENTER PARKWAY,KENNEWICK,BENTON,EDUCATIONAL SERVICE DISTRICT 123,K -5,Y,N
SUNSHINE MOUNTAIN CHRISTIAN,2013-14,31,93.5%,0.0%,0.0%,6.5%,0.0%,6.5%,0.0%,0.0%,96.8%,96.8%,93.5%,96.8%,96.8%,96.8%,29,0,0,2,0,2,0,0,1,1,2,1,1,1,Y,KENT SCHOOL DISTRICT,25125 132ND AVE SE,KENT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-K,Y,N
SUQUAMISH ELEMENTARY SCHOOL,2013-14,66,75.8%,3.0%,18.2%,3.0%,1.5%,1.5%,0.0%,0.0%,83.3%,83.3%,92.4%,80.3%,92.4%,84.8%,50,2,12,2,1,1,0,0,11,11,5,13,5,10,Y,NORTH KITSAP SCHOOL DISTRICT,18950 PARK AVE NE,SUQUAMISH,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,K -5,Y,N
SURPRISE LAKE MIDDLE SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,FIFE SCHOOL DISTRICT,2001 MILTON WAY,MILTON,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-7,N,Y
SWAN SCHOOL,2013-14,7,85.7%,0.0%,0.0%,14.3%,0.0%,14.3%,0.0%,0.0%,100.0%,100.0%,85.7%,85.7%,85.7%,100.0%,6,0,0,1,0,1,0,0,0,0,1,1,1,0,Y,PORT TOWNSEND SCHOOL DISTRICT,2345 KUHN ST,PORT TOWNSEND,JEFFERSON,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,P-6,Y,Y
SWIFTWATER LEARNING CENTER,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,CLE ELUM-ROSLYN SCHOOL DISTRICT,P.O. BOX 906,ROSLYN,KITTITAS,EDUCATIONAL SERVICE DISTRICT 105,8-12,N,N
SYLVESTER MIDDLE SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,HIGHLINE SCHOOL DISTRICT,16222 SYLVESTER ROAD SW,BURIEN,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,7-8,N,N
TACOMA SCHOOL OF THE ARTS,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,TACOMA SCHOOL DISTRICT,1950 PACIFIC AVENUE,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,10-12,N,N
TACOMA WALDORF SCHOOL,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,TACOMA SCHOOL DISTRICT,3315 S 19TH ST,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-5,Y,N
TAHOLAH ELEMENTARY & MIDDLE SCHOOL,2013-14,12,91.7%,0.0%,8.3%,0.0%,0.0%,0.0%,0.0%,0.0%,91.7%,91.7%,100.0%,100.0%,100.0%,100.0%,11,0,1,0,0,0,0,0,1,1,0,0,0,0,Y,TAHOLAH SCHOOL DISTRICT,PO BOX 249,TAHOLAH,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,K -8,Y,Y
TAHOLAH HIGH SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,TAHOLAH SCHOOL DISTRICT,PO BOX 249,TAHOLAH,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,9-12,N,N
TAHOMA JR HIGH,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,TAHOMA SCHOOL DISTRICT,25600 SE SUMMIT LANDSBURG ROAD,RAVENSDALE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,8-9,N,N
TAHOMA MIDDLE SCHOOL,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,TAHOMA SCHOOL DISTRICT,24425 SE 216TH ST,MAPLE VALLEY,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-7,N,Y
TAHOMA SENIOR HIGH SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,TAHOMA SCHOOL DISTRICT,18200 SE 240TH ST,KENT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,10-12,N,N
TALBOT HILL ELEMENTARY SCHOOL,2013-14,57,98.2%,0.0%,0.0%,1.8%,0.0%,1.8%,0.0%,0.0%,98.2%,98.2%,98.2%,98.2%,98.2%,98.2%,56,0,0,1,0,1,0,0,1,1,1,1,1,1,Y,RENTON SCHOOL DISTRICT,2300 TALBOT RD S,RENTON,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
TAPROOT SCHOOL,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,SEATTLE PUBLIC SCHOOLS,9131 CALIFORNIA AVE SW,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-5,Y,N
TAPTEAL ELEMENTARY SCHOOL,2013-14,99,88.9%,0.0%,10.1%,1.0%,0.0%,1.0%,0.0%,0.0%,94.9%,94.9%,91.9%,94.9%,96.0%,89.9%,88,0,10,1,0,1,0,0,5,5,8,5,4,10,Y,RICHLAND SCHOOL DISTRICT,705 N 62ND AVE,WEST RICHLAND,BENTON,EDUCATIONAL SERVICE DISTRICT 123,PK-5,Y,N
TCC FRESH START,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,TACOMA SCHOOL DISTRICT,601 S 8TH ST,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
TEAM HIGH SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,WOODLAND SCHOOL DISTRICT,800 THIRD STREET,WOODLAND,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,9-12,N,N
TECHNOLOGY ACCESS FOUNDATION ACADEMY,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,FEDERAL WAY SCHOOL DISTRICT,26630 40TH AVE S,KENT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-12,N,Y
"TECHNOLOGY, ENGINEERING AND COMMUNICATIONS",2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,HIGHLINE SCHOOL DISTRICT,830 SW 116TH ST,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
TEKOA ELEMENTARY SCHOOL,2013-14,9,77.8%,0.0%,22.2%,0.0%,0.0%,0.0%,0.0%,0.0%,77.8%,77.8%,88.9%,77.8%,88.9%,88.9%,7,0,2,0,0,0,0,0,2,2,1,2,1,1,Y,TEKOA SCHOOL DISTRICT,200 N BROADWAY,TEKOA,WHITMAN,EDUCATIONAL SERVICE DISTRICT 101,PK-6,Y,Y
TEKOA HIGH SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,TEKOA SCHOOL DISTRICT,513 E HENKLE,TEKOA,WHITMAN,EDUCATIONAL SERVICE DISTRICT 101,7-12,N,N
TENINO ELEMENTARY SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,TENINO SCHOOL DISTRICT,PO BOX 4024,TENINO,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,3-5,N,N
TENINO HIGH SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,TENINO SCHOOL DISTRICT,PO BOX 4024,TENINO,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,9-12,N,N
TENINO MIDDLE SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,TENINO SCHOOL DISTRICT,PO BOX 4024,TENINO,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,6-8,N,Y
TERMINAL PARK ELEMENTARY SCHOOL,2013-14,71,81.7%,0.0%,14.1%,4.2%,1.4%,2.8%,0.0%,0.0%,85.9%,85.9%,84.5%,85.9%,91.5%,84.5%,58,0,10,3,1,2,0,0,10,10,11,10,6,11,Y,AUBURN SCHOOL DISTRICT,1101 D ST SE,AUBURN,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
TERRACE HEIGHTS ELEMENTARY,2013-14,101,66.3%,1.0%,30.7%,2.0%,1.0%,1.0%,0.0%,0.0%,85.1%,85.1%,86.1%,81.2%,83.2%,82.2%,67,1,31,2,1,1,0,0,15,15,14,19,17,18,Y,EAST VALLEY SCHOOL DISTRICT (YAKIMA),408 EAST SEATTLE AVENUE,MOXEE,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -5,Y,N
TERRACE PARK ELEMENTARY,2013-14,61,85.2%,3.3%,4.9%,6.6%,0.0%,4.9%,1.6%,0.0%,93.4%,93.4%,93.4%,91.8%,91.8%,90.2%,52,2,3,4,0,3,1,0,4,4,4,5,5,6,Y,EDMONDS SCHOOL DISTRICT,5409 228TH ST SW,MOUNTLAKE TERRACE,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y
THE BEAR CREEK SCHOOL,2013-14,43,95.3%,0.0%,0.0%,4.7%,0.0%,4.7%,0.0%,0.0%,95.3%,95.3%,95.3%,95.3%,97.7%,95.3%,41,0,0,2,0,2,0,0,2,2,2,2,1,2,Y,LAKE WASHINGTON SCHOOL DISTRICT,8905 208TH AVE NE,REDMOND,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-12,Y,Y
THE BUSH SCHOOL,2013-14,32,90.6%,6.3%,0.0%,3.1%,0.0%,3.1%,0.0%,0.0%,100.0%,100.0%,96.9%,96.9%,93.8%,93.8%,29,2,0,1,0,1,0,0,0,0,1,1,2,2,Y,SEATTLE PUBLIC SCHOOLS,3400 E HARRISON,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-12,Y,Y
THE CENTER SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,SEATTLE PUBLIC SCHOOLS,305 HARRISON ST,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
THE CHILDREN'S INN ACADEMY,2013-14,7,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,7,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,OLYMPIA SCHOOL DISTRICT,1939 KAREN FRAZIER RD SE,OLYMPIA,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,P-6,Y,Y
THE CLEARWATER SCHOOL,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,NORTHSHORE SCHOOL DISTRICT,1510 196TH ST SE,BOTHELL,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-12,Y,Y
THE EASTSIDE MONTESSORI SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,BELLEVUE SCHOOL DISTRICT,1934 108TH AVE NE,BELLEVUE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-3,Y,N
THE ISLAND SCHOOL,2013-14,13,92.3%,0.0%,0.0%,7.7%,0.0%,7.7%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,92.3%,100.0%,12,0,0,1,0,1,0,0,0,0,0,0,1,0,Y,BAINBRIDGE ISLAND SCHOOL DISTRICT,8553 NE DAY RD,BAINBRIDGE ISLAND,KITSAP,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-5,Y,N
THE LAKE AND PARK SCHOOL,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,SEATTLE PUBLIC SCHOOLS,3201 HUNTER BLVD S,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,Y,Y
THE LITTLE SCHOOL,2013-14,27,74.1%,11.1%,0.0%,14.8%,11.1%,7.4%,0.0%,0.0%,81.5%,81.5%,81.5%,92.6%,96.3%,81.5%,20,3,0,4,3,2,0,0,5,5,5,2,1,5,Y,BELLEVUE SCHOOL DISTRICT,2812 116TH AVE NE,BELLEVUE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-6,Y,Y
THE PHOENIX RISING SCHOOL,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,RAINIER SCHOOL DISTRICT,13411 CEDAR GROVE LN,RAINIER,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,P-6,Y,Y
THE SAMMAMISH MONTESSORI SCHOOL,2013-14,63,96.8%,0.0%,1.6%,1.6%,0.0%,1.6%,0.0%,0.0%,96.8%,96.8%,96.8%,96.8%,96.8%,96.8%,61,0,1,1,0,1,0,0,2,2,2,2,2,2,Y,LAKE WASHINGTON SCHOOL DISTRICT,7655 178TH PL NE,REDMOND,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-4,Y,N
THE WELL-TRAINED MIND MONTESSORI,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,KENT SCHOOL DISTRICT,19455 136TH PLACE SE,RENTON,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-3,Y,N
THERESA AND ELIZABETHS SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,MONROE SCHOOL DISTRICT,23816 165TH AVE SE,MONROE,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K-12,Y,Y
THOMAS JEFFERSON HIGH SCHOOL,2013-14,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,FEDERAL WAY SCHOOL DISTRICT,4248 S 288TH ST,AUBURN,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
THOMPSON ELEMENTARY SCHOOL,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,GRANDVIEW SCHOOL DISTRICT,1105 W 2ND ST,GRANDVIEW,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,PK-5,Y,N
THOREAU ELEMENTARY,2013-14,54,51.9%,1.9%,42.6%,3.7%,3.7%,0.0%,0.0%,0.0%,61.1%,61.1%,70.4%,57.4%,79.6%,66.7%,28,1,23,2,2,0,0,0,21,21,16,23,11,18,Y,LAKE WASHINGTON SCHOOL DISTRICT,8224 NE 138TH,KIRKLAND,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
THORNDYKE ELEMENTARY,2013-14,68,88.2%,4.4%,4.4%,2.9%,1.5%,1.5%,0.0%,0.0%,91.2%,91.2%,95.6%,92.6%,97.1%,97.1%,60,3,3,2,1,1,0,0,6,6,3,5,2,2,Y,TUKWILA SCHOOL DISTRICT,4415 S 150TH ST,TUKWILA,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
THORNTON CREEK ELEMENTARY SCHOOL,2013-14,78,75.6%,0.0%,15.4%,9.0%,5.1%,3.8%,0.0%,0.0%,100.0%,100.0%,85.9%,84.6%,88.5%,80.8%,59,0,12,7,4,3,0,0,0,0,11,12,9,15,Y,SEATTLE PUBLIC SCHOOLS,7711 43 AV NE,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
THORP ELEM AND JR SR HIGH,2013-14,16,81.3%,0.0%,6.3%,12.5%,6.3%,0.0%,6.3%,0.0%,87.5%,87.5%,81.3%,87.5%,93.8%,81.3%,13,0,1,2,1,0,1,0,2,2,3,2,1,3,Y,THORP SCHOOL DISTRICT,PO BOX 150,THORP,KITTITAS,EDUCATIONAL SERVICE DISTRICT 105,K -12,Y,Y
THREE CEDARS WALDORF SCHOOL,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,BELLEVUE SCHOOL DISTRICT,556 124TH AVE NE,BELLEVUE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-8,Y,Y
