School_Name,School_Year,Reported,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_incomplete_for_diphtheria_tetanus,Number_incomplete_for_pertussis,Number_incomplete_for_measles_mumps_rubella,Number_incomplete_for_polio,Number_incomplete_for_HepatitisB,Number_incomplete_for_varicella,School_Type,School_District,Address,City,County,ESD,Has_kindergarten,Has_6thGrade
iGrad,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Kent School District,25668 104TH AVENUE SE,Kent,KING,Puget Sound Educational Service District 121,0,0
K-8 STEM AT BOREN,2017-18,Y,55,78.2%,0.0%,18.2%,3.6%,0.0%,3.6%,0.0%,0.0%,85.5%,85.5%,83.6%,83.6%,83.6%,85.5%,43,0,10,2,0,2,0,0,8,8,9,9,9,8,Public,Seattle Public Schools,5950 Delridge Way SW,Seattle,KING,Puget Sound Educational Service District 121,1,1
Transition Program,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Bellevue School District,12111 NE 1st Street,Bellevue,KING,Puget Sound Educational Service District 121,1,1
Central Education Services,2017-18,Y,4,25.0%,0.0%,75.0%,0.0%,0.0%,0.0%,0.0%,0.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,1,0,3,0,0,0,0,0,3,3,3,3,3,3,Public,Bellevue School District,12111 NE 1st Street,Bellevue,KING,Puget Sound Educational Service District 121,1,1
Transition Program,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Bellevue School District,12111 NE 1st Street,Bellevue,KING,Puget Sound Educational Service District 121,1,1
Central Education Services,2017-18,Y,4,25.0%,0.0%,75.0%,0.0%,0.0%,0.0%,0.0%,0.0%,25.0%,25.0%,25.0%,25.0%,25.0%,25.0%,1,0,3,0,0,0,0,0,3,3,3,3,3,3,Public,Bellevue School District,12111 NE 1st Street,Bellevue,KING,Puget Sound Educational Service District 121,1,1
TALLEY HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Renton School District,7800 S 132ND ST,SEATTLE,KING,Educational Service District 101,0,0
COLUMBIA ALTERNATIVE SCHOOL,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Columbia (Stevens) School District,4961 B Hunters Shop Rd,Hunters,STEVENS,Educational Service District 101,0,0
WAHITIS ELEMENTARY SCHOOL,2017-18,Y,79,94.9%,1.3%,2.5%,1.3%,0.0%,1.3%,0.0%,0.0%,96.2%,96.2%,96.2%,97.5%,100.0%,96.2%,75,1,2,1,0,1,0,0,3,3,3,2,0,3,Public,Othello School District,905 SOUTH 14TH AVENUE,Othello,ADAMS,Educational Service District 123,1,0
MANSON MIDDLE SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Manson School District,1000 Totem Pole Rd,Manson,CHELAN,North Central Educational Service District 171,0,1
MAPLE GROVE SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Battle Ground School District,601 B SW Eaton Blvd,Battle Ground,CLARK,Educational Service District 112,1,1
CASCADIA ELEMENTARY,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Seattle Public Schools,4400 Interlake Ave N,Seattle,KING,Puget Sound Educational Service District 121,0,0
LIND-RITZVILLE MIDDLE SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Lind School District,401 E 6th Ave.,Ritzville,ADAMS,Educational Service District 101,0,1
SNOWDON ELEMENTARY,2017-18,Y,68,64.7%,0.0%,29.4%,5.9%,0.0%,4.4%,0.0%,1.5%,77.9%,77.9%,75.0%,76.5%,83.8%,75.0%,44,0,20,4,0,3,0,1,15,15,17,16,11,17,Public,Cheney School District,6323 S Holly Road,Cheney,SPOKANE,Educational Service District 101,1,0
PARENT PARTNERSHIP,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Snoqualmie Valley School District,400 East 3rd St,North Bend,KING,Puget Sound Educational Service District 121,1,0
Transition Day Students,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Clover Park School District,8805 Steilacoom Blvd SW,Lakewood,PIERCE,Puget Sound Educational Service District 121,0,0
Oakridge Group Home,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Clover Park School District,8701 Steilacoom Blvd SW,Tacoma,PIERCE,Puget Sound Educational Service District 121,0,0
MT RAINIER PARENT PARTNERSHIP,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Eatonville School District,209 Lynch Creek Rd,Eatonville,PIERCE,Puget Sound Educational Service District 121,0,0
The Community School,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Spokane School District,1025 W Spofford Ave,Spokane,SPOKANE,Educational Service District 101,0,0
LIND-RITZVILLE MIDDLE SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Ritzville School District,209 E Wellsandt Rd,Ritzville,ADAMS,Educational Service District 101,0,0
Jing Mei Elementary,2017-18,Y,72,80.6%,0.0%,18.1%,1.4%,0.0%,1.4%,0.0%,0.0%,87.5%,87.5%,88.9%,90.3%,95.8%,86.1%,58,0,13,1,0,1,0,0,9,9,8,7,3,10,Public,Bellevue School District,301 151st Place NE,Bellevue,KING,Puget Sound Educational Service District 121,1,0
WOODBURN ELEMENTARY SCHOOL,2017-18,Y,91,93.4%,0.0%,1.1%,5.5%,2.2%,3.3%,0.0%,0.0%,94.5%,94.5%,93.4%,94.5%,94.5%,94.5%,85,0,1,5,2,3,0,0,5,5,6,5,5,5,Public,Camas School District,2400 NE Woodburn Dr,Camas,CLARK,Educational Service District 112,1,0
HENRIETTA LACKS HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Evergreen School District (Clark),9105 NE 9TH ST,Vancouver,CLARK,Educational Service District 112,0,0
HOCKINSON HEIGHTS ELEMENTARY,2017-18,Y,109,41.3%,3.7%,46.8%,8.3%,0.9%,7.3%,0.0%,0.0%,63.3%,63.3%,61.5%,62.4%,80.7%,56.9%,45,4,51,9,1,8,0,0,40,40,42,41,21,47,Public,Hockinson School District,20000 NE 164 ST,BRUSH PRAIRIE,CLARK,Educational Service District 112,1,0
DISCOVERY HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Longview School District,2742 Harding Blvd,Longview,COWLITZ,Educational Service District 112,0,0
NORTHSHORE ONLINE SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Northshore School District,3330 MONTE VILLA PARKWAY,Bothell,KING,Puget Sound Educational Service District 121,0,0
Lake Roosevelt Alternative,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Grand Coulee Dam School District,500 Civic Way,Coulee Dam,GRANT,North Central Educational Service District 171,1,1
iGRAD ACADEMY,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Oak Harbor School District,1 Wildcat Way,Oak Harbor,ISLAND,Northwest Educational Service District 189,0,0
Open Doors (1418),2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Spokane School District,901 E 2nd Av   #100,Spokane,SPOKANE,Educational Service District 101,0,0
ROSALIND FRANKLIN STEM ELEMENTARY,2017-18,Y,95,93.7%,0.0%,4.2%,2.1%,0.0%,2.1%,0.0%,0.0%,96.8%,96.8%,95.8%,96.8%,97.9%,94.7%,89,0,4,2,0,2,0,0,3,3,4,3,2,5,Public,Pasco School District,6010 Road 52,Pasco,FRANKLIN,Educational Service District 123,1,0
East Valley Middle School,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,East Valley School District (Spokane),4920 N PROGRESS RD,Spokane Valley,SPOKANE,Educational Service District 101,0,1
GRANITE FALLS OPEN DOORS,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Granite Falls School District,205 N Alder Ave,Granite Falls,SNOHOMISH,Northwest Educational Service District 189,0,0
JANE ADDAMS MS,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Seattle Public Schools,11051 24th Ave. NE,Seattle,KING,Puget Sound Educational Service District 121,0,1
ENDEAVOR MIDDLE SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Moses Lake School District,6527 Patton Blvd,Moses Lake,GRANT,North Central Educational Service District 171,0,1
YAKIMA OPEN DOORS,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Yakima School District,,Yakima,YAKIMA,Educational Service District 105,0,0
Edmonds Career Access,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Edmonds School District,20420 68th Ave W,Lynwood,SNOHOMISH,Northwest Educational Service District 189,0,0
FUTURUS HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Centralia School District,906 Johnson Road,Centralia,LEWIS,Educational Service District 113,0,0
Spokane Public Montessori,2017-18,Y,29,48.3%,17.2%,0.0%,34.5%,6.9%,31.0%,0.0%,0.0%,72.4%,72.4%,72.4%,72.4%,65.5%,65.5%,14,5,0,10,2,9,0,0,8,8,8,8,10,10,Public,Spokane School District,1300 W Knox Av,Spokane,SPOKANE,Educational Service District 121,1,1
COLLEGE PLACE HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,College Place School District,1755 S. College Avenue,College Place,WALLA WALLA,Educational Service District 123,0,0
Meriwether Elementary School,2017-18,Y,62,79.0%,0.0%,19.4%,1.6%,1.6%,0.0%,0.0%,0.0%,87.1%,87.1%,82.3%,83.9%,93.5%,83.9%,49,0,12,1,1,0,0,0,8,8,11,10,4,10,Public,Clover Park School District,10285 COMPASS AVE,JBLM LEWIS MCCHORD,PIERCE,Puget Sound Educational Service District 121,1,0
Rainier Elementary School,2017-18,Y,111,82.9%,0.9%,13.5%,2.7%,1.8%,0.0%,0.9%,0.0%,91.9%,91.9%,93.7%,90.1%,93.7%,91.0%,92,1,15,3,2,0,1,0,9,9,7,11,7,10,Public,Clover Park School District,2410 STRYKER AVE,JBLM LEWIS MCCHORD,PIERCE,Puget Sound Educational Service District 121,1,0
Bellingham Family Partnership,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Bellingham School District,1409 18th Street,Bellingham,WHATCOM,Northwest Educational Service District 189,0,0
W & P STEVENSON INTERMEDIATE,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,White Salmon Valley School District,480 NW Loop Road,White Salmon,KITTITAS,Educational Service District 112,0,1
ACCELERATION ACADEMY,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Private,Bethel School District,16218 Pacific Ave,Spanaway,PIERCE,Puget Sound Educational Service District 121,0,0
SVSD OPEN DOORS,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Snoqualmie Valley School District,8001 SILVA AVE SE,Snoqualmie,KING,Puget Sound Educational Service District 121,0,0
SUMMIT PUBLIC CHARTER SCHOOL SIERRA,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Summit Public School: Sierra,210 S Hudson St,Seattle,KING,Office of Superintendent of Public Instruction,0,0
SUMMIT PUBLIC CHARTER SCHOOL OLYMPUS,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Summit Public School: Olympus,210 S. Hudson St,Seattle,KING,Office of Superintendent of Public Instruction,0,0
Excel Public Charter School,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Excel Public Charter School LEA,210 South Hudson Street STE 318,Seattle,KING,Office of Superintendent of Public Instruction,0,1
DESTINY MIDDLE SCHOOL CHARTER,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Green Dot Public Schools Washington State Charter District,210 S. Hudson Street,Seattle,KING,Office of Superintendent of Public Instruction,0,1
SOAR ACADEMY TACOMA,2017-18,Y,46,78.3%,0.0%,19.6%,2.2%,0.0%,2.2%,0.0%,0.0%,89.1%,89.1%,87.0%,82.6%,87.0%,84.8%,36,0,9,1,0,1,0,0,5,5,6,8,6,7,Public,SOAR Academy Charter District,2136 Martin Luther King Jr. Way,Tacoma,PIERCE,Office of Superintendent of Public Instruction,1,1
RAINIER PREP,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Seattle Public Schools,10211 12th Ave S,Seattle,KING,Office of Superintendent of Public Instruction,0,1
Primary Academy,2017-18,Y,47,34.0%,0.0%,57.4%,8.5%,0.0%,8.5%,0.0%,0.0%,70.2%,70.2%,76.6%,55.3%,72.3%,48.9%,16,0,27,4,0,4,0,0,14,14,11,21,13,24,Public,Spokane School District,2706 E Queen Ave,Spokane,SPOKANE,Office of Superintendent of Public Instruction,1,1
Summit View Middle School,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Battle Ground School District,700 NW 9th St,Battle Ground,CLARK,Educational Service District 112,0,0
JOHN CAMPBELL PRIMARY,2017-18,Y,259,84.9%,2.7%,11.2%,1.2%,0.0%,1.2%,0.0%,0.0%,89.2%,89.2%,91.9%,88.0%,95.0%,91.1%,220,7,29,3,0,3,0,0,28,28,21,31,13,23,Public,Selah School District,408 North First Street,Selah,YAKIMA,Educational Service District 105,1,0
SELAH INTERMEDIATE SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Selah School District,1401 West Fremont,Selah,YAKIMA,Educational Service District 105,0,0
SELAH MIDDLE SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Selah School District,411 North First Street,Selah,YAKIMA,Educational Service District 105,0,1
Four Heroes Elementary,2017-18,Y,114,94.7%,0.9%,4.4%,0.0%,0.0%,0.0%,0.0%,0.0%,95.6%,95.6%,96.5%,95.6%,98.2%,94.7%,108,1,5,0,0,0,0,0,5,5,4,5,2,6,Public,Clover Park School District,9101 Lakewood Dr SW,Lakewood,PIERCE,Puget Sound Educational Service District 121,1,0
ROYAL INTERMEDIATE SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Royal School District,6261 Rd 12 SW,Royal City,GRANT,Educational Service District 105,0,1
BARBARA MCCLINTOCK STEM ELEMENTARY,2017-18,Y,138,97.1%,0.7%,0.0%,2.2%,0.0%,2.2%,0.0%,0.0%,97.8%,97.8%,97.1%,98.6%,97.8%,97.1%,134,1,0,3,0,3,0,0,3,3,4,2,3,4,Public,Pasco School District,5706 Road 60,Pasco,FRANKLIN,Educational Service District 123,1,1
CAPTAIN GRAY ELEMENTARY SCHOOL,2017-18,Y,69,97.1%,1.4%,1.4%,0.0%,0.0%,0.0%,0.0%,0.0%,97.1%,97.1%,100.0%,97.1%,100.0%,100.0%,67,1,1,0,0,0,0,0,2,2,0,2,0,0,Public,Pasco School District,1102 N 10th Ave,Pasco,FRANKLIN,Educational Service District 123,1,1
MARIE CURIE STEM ELEMENTARY,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Pasco School District,715 N California,Pasco,FRANKLIN,Educational Service District 123,0,1
MEAD OPEN DOORS,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Mead School District,2323 E Farwell Rd,Mead,SPOKANE,Educational Service District 101,0,0
OPEN DOORS RE-ENGAGEMENT,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Lakewood School District,17110 16th Drive NE,Marysville,SNOHOMISH,Northwest Educational Service District 189,0,0
INTERAGENCY ACADEMY 1418,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Seattle Public Schools,3528 S Ferdinand St,Seattle,KING,Puget Sound Educational Service District 121,0,0
BRIDGES TRANSITION,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Seattle Public Schools,8815 Seward Park Ave S,Seattle,KING,Puget Sound Educational Service District 121,0,0
WOODLAND PRIMARY SCHOOL,2017-18,Y,166,88.6%,0.6%,0.6%,10.2%,3.6%,6.6%,0.0%,0.0%,91.6%,91.6%,91.6%,89.8%,91.6%,89.8%,147,1,1,17,6,11,0,0,14,14,14,17,14,17,Public,Woodland School District,600 Bozarth St,Woodland,COWLITZ,Educational Service District 112,1,0
WOODLAND INTERMEDIATE,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Woodland School District,2250 Lewis River Rd,Woodland,COWLITZ,Educational Service District 112,0,0
WOODLAND MIDDLE SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Woodland School District,755 Park St,Woodland,COWLITZ,Educational Service District 112,0,1
FUTURES,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Steilacoom Hist. School District,510 Chambers Street,Steilacoom,PIERCE,Puget Sound Educational Service District 121,0,0
CPSD Open Doors Program,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Clover Park School District,5431 Steilacoom Blvd SW,Lakewood,PIERCE,Puget Sound Educational Service District 121,0,0
OPEN DEN,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Coupeville School District,502 N. Main St.,Coupville,ISLAND,Northwest Educational Service District 189,0,0
EOC OPEN DOORS,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Clarkston School District,1284 Chestnut Street,Clarkston,ASOTIN,Educational Service District 123,0,0
MOSSYROCK ACADEMY,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Mossyrock School District,294 Williams St.,Mossyrock,LEWIS,Educational Service District 113,0,0
EV Online,2017-18,Y,1,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0,0,0,1,0,1,0,0,1,1,1,1,1,1,Public,East Valley School District (Spokane),12325 E Grace Ave,Spokane Valley,SPOKANE,Educational Service District 101,0,0
EV Parent Partnership,2017-18,Y,17,64.7%,11.8%,11.8%,11.8%,0.0%,11.8%,0.0%,0.0%,76.5%,76.5%,76.5%,76.5%,70.6%,76.5%,11,2,2,2,0,2,0,0,4,4,4,4,5,4,Public,East Valley School District (Spokane),12325 E Grace Ave,Spokane Valley,SPOKANE,Educational Service District 101,0,0
Gibson Ek High School,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Issaquah School District,379 1st Pl SE,Issaquah,KING,Puget Sound Educational Service District 121,0,0
SAGE CREST ELEMENTARY,2017-18,Y,88,89.8%,2.3%,0.0%,8.0%,2.3%,5.7%,1.1%,0.0%,89.8%,89.8%,92.0%,89.8%,93.2%,90.9%,79,2,0,7,2,5,1,0,9,9,7,9,6,8,Public,Kennewick School District,6411 W 38th Ave,Kennewick,BENTON,Educational Service District 123,1,0
CHINOOK MIDDLE SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Kennewick School District,4891 W 27th Ave,Kennewick,BENTON,Educational Service District 123,0,1
The Outreach Program,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Kent School District,26024 111th Ave SE,Kent,KING,Puget Sound Educational Service District 121,0,0
MARY M KNIGHT ELEMENTARY SCHOO,2017-18,Y,7,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,7,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Mary M Knity School District,2987 Matlock-Brady Rd,Elma,GRAYS HARBOR,Educational Service District 113,0,0
MARY M KNIGHT HIGH SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Mary M Knity School District,2987 Matlock-Brady Rd,Elma,GRAYS HARBOR,Educational Service District 113,0,0
MARY WALKER PROMISE,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Mary Walker School District,500 N. 4th St,Springdale,STEVENS,Educational Service District 101,1,1
NORTHWOOD ELEMENTARY,2017-18,Y,67,91.0%,0.0%,1.5%,7.5%,3.0%,4.5%,0.0%,0.0%,91.0%,91.0%,91.0%,91.0%,92.5%,92.5%,61,0,1,5,2,3,0,0,6,6,6,6,5,5,Public,Mercer Island School District,4030 86th Ave SE,Mercer Island,KING,Puget Sound Educational Service District 121,1,0
LAKE STICKNEY ELEMENTARY,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Mukilteo School District,1625 Madison Way,Lynnwood,SNOHOMISH,Northwest Educational Service District 189,1,0
NACHES VALLEY ELEMENTARY,2017-18,Y,82,93.9%,2.4%,1.2%,2.4%,0.0%,2.4%,0.0%,0.0%,93.9%,93.9%,96.3%,95.1%,96.3%,96.3%,77,2,1,2,0,2,0,0,5,5,3,4,3,3,Public,Naches Valley School District,151 Bonlow Dr,Yakima,YAKIMA,Educational Service District 105,1,0
SALISH MIDDLE SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,North Thurston Public Schools,8605 Campus Glen Dr NE,Lacey,THURSTON,Educational Service District 113,0,1
Orchard Elementary,2017-18,Y,97,93.8%,1.0%,1.0%,4.1%,0.0%,4.1%,0.0%,0.0%,94.8%,94.8%,94.8%,95.9%,96.9%,94.8%,91,1,1,4,0,4,0,0,5,5,5,4,3,5,Public,Richland School District,1600 Gala Way,Richland,BENTON,Educational Service District 123,1,0
TIMBER RIDGE ELEMENTARY SCHOOL,2017-18,Y,113,92.0%,0.9%,4.4%,2.7%,0.9%,1.8%,0.0%,0.0%,94.7%,94.7%,94.7%,94.7%,95.6%,93.8%,104,1,5,3,1,2,0,0,6,6,6,6,5,7,Public,Snoqualmie Valley School District,34412 SE SWENSON DR,SNOQUALMIE,KING,Puget Sound Educational Service District 121,1,0
Industrial Design Engineering and Arts,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Tacoma School District,6701 S Park Ave,Tacoma,PIERCE,Puget Sound Educational Service District 121,0,0
RAINIER VALLEY LEADERSHIP ACADEMY,2017-18,N,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Seattle Public Schools,3900 S. Holly Park Dr,Seattle,KING,Puget Sound Educational Service District 121,0,0
SUMMIT PUBLIC CHARTER ATLAS SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Seattle Public Schools,9601 35th Ave SW,Seattle,KING,Puget Sound Educational Service District 121,0,0
BETHEL ELEM LEARNING ACADEM,2017-18,Y,5,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Bethel School District,10026 204th St. E.,Graham,PIERCE,Puget Sound Educational Service District 121,0,0
North Creek High School,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Edmonds School District,3613 191st Pl SE,Bothell,KING,Puget Sound Educational Service District 121,0,0
PATHFINDER KINDERGARTEN CENTER,2017-18,Y,483,85.1%,1.0%,10.4%,3.5%,0.0%,3.5%,0.0%,0.0%,90.5%,90.5%,91.1%,89.9%,93.8%,89.0%,411,5,50,17,0,17,0,0,46,46,43,49,30,53,Private,Mukilteo School District,11401 Beverly Park Rd,Everett,SNOHOMISH,Northwest Educational Service District 189,0,0
RISDON MIDDLE SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Renton School District,6928 116TH AVE SE,NEWCASTLE,KING,Educational Service District 101,0,1
MEANY MIDDLE SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Seattle Public Schools,301 21st Ave E,Seattle,KING,Puget Sound Educational Service District 121,0,0
ROBERT EAGLE STAFF MIDDLE SCHOOL,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Seattle Public Schools,1330 N 90th St,Seattle,KING,Puget Sound Educational Service District 121,0,0
CEDAR PARK ELEMENTARY,2017-18,Y,26,92.3%,0.0%,3.8%,3.8%,0.0%,3.8%,0.0%,0.0%,96.2%,96.2%,96.2%,92.3%,92.3%,96.2%,24,0,1,1,0,1,0,0,1,1,1,2,2,1,Public,Seattle Public Schools,13224 37th Ave NE,Seattle,KING,Puget Sound Educational Service District 121,0,0
STEPHEN DECATUR ELEMENTARY,2017-18,Y,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Public,Seattle Public Schools,7711 43rd Ave NE,Seattle,KING,Puget Sound Educational Service District 121,0,0
